,Time,Temp,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip,Condition
0,Month 1 Day 31,Month 1 Day 31,Month 1 Day 31,Month 1 Day 31,Month 1 Day 31,Month 1 Day 31,Month 1 Day 31,Month 1 Day 31,Month 1 Day 31,Month 1 Day 31
0,1:53 AM,60 °F,31 °F,33 %,CALM,0 mph,0 mph,29.14 in,0.0 in,Fair
1,2:53 AM,55 °F,32 °F,42 %,CALM,0 mph,0 mph,29.14 in,0.0 in,Fair
2,3:53 AM,54 °F,31 °F,41 %,N,6 mph,0 mph,29.14 in,0.0 in,Fair
3,4:53 AM,53 °F,31 °F,43 %,CALM,0 mph,0 mph,29.14 in,0.0 in,Fair
4,5:53 AM,51 °F,32 °F,48 %,NNW,3 mph,0 mph,29.14 in,0.0 in,Fair
5,6:53 AM,51 °F,31 °F,46 %,CALM,0 mph,0 mph,29.14 in,0.0 in,Fair
6,7:53 AM,51 °F,31 °F,46 %,WSW,5 mph,0 mph,29.16 in,0.0 in,Fair
7,8:53 AM,55 °F,32 °F,42 %,CALM,0 mph,0 mph,29.17 in,0.0 in,Fair
8,9:53 AM,61 °F,34 °F,36 %,CALM,0 mph,0 mph,29.17 in,0.0 in,Fair
9,10:53 AM,68 °F,34 °F,28 %,CALM,0 mph,0 mph,29.18 in,0.0 in,Fair
10,11:53 AM,74 °F,32 °F,21 %,CALM,0 mph,0 mph,29.16 in,0.0 in,Fair
11,12:53 PM,78 °F,28 °F,16 %,ESE,6 mph,0 mph,29.13 in,0.0 in,Fair
12,1:53 PM,80 °F,26 °F,14 %,VAR,3 mph,0 mph,29.10 in,0.0 in,Fair
13,2:53 PM,80 °F,32 °F,17 %,SSW,10 mph,0 mph,29.08 in,0.0 in,Fair
14,3:53 PM,79 °F,31 °F,17 %,S,9 mph,0 mph,29.07 in,0.0 in,Fair
15,4:53 PM,78 °F,34 °F,20 %,S,7 mph,0 mph,29.07 in,0.0 in,Fair
16,5:53 PM,75 °F,33 °F,22 %,SSE,7 mph,0 mph,29.07 in,0.0 in,Partly Cloudy
17,6:53 PM,72 °F,36 °F,27 %,S,3 mph,0 mph,29.09 in,0.0 in,Fair
