,Time,Temp,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip,Condition
0,Month 12 Day 1,Month 12 Day 1,Month 12 Day 1,Month 12 Day 1,Month 12 Day 1,Month 12 Day 1,Month 12 Day 1,Month 12 Day 1,Month 12 Day 1,Month 12 Day 1
0,1:53 AM,55 °F,38 °F,53 %,NNW,10 mph,0 mph,29.14 in,0.0 in,Fair
1,2:53 AM,55 °F,38 °F,53 %,NNE,7 mph,0 mph,29.14 in,0.0 in,Fair
2,3:53 AM,50 °F,39 °F,66 %,CALM,0 mph,0 mph,29.13 in,0.0 in,Fair
3,4:53 AM,48 °F,39 °F,71 %,N,3 mph,0 mph,29.14 in,0.0 in,Fair
4,5:53 AM,47 °F,39 °F,74 %,CALM,0 mph,0 mph,29.14 in,0.0 in,Fair
5,6:53 AM,47 °F,39 °F,74 %,NW,5 mph,0 mph,29.16 in,0.0 in,Fair
6,7:53 AM,47 °F,39 °F,74 %,CALM,0 mph,0 mph,29.17 in,0.0 in,Fair
7,8:53 AM,52 °F,39 °F,61 %,CALM,0 mph,0 mph,29.17 in,0.0 in,Fair
8,9:53 AM,55 °F,40 °F,57 %,CALM,0 mph,0 mph,29.18 in,0.0 in,Fair
9,10:53 AM,57 °F,38 °F,49 %,NNE,5 mph,0 mph,29.18 in,0.0 in,Fair
10,11:53 AM,60 °F,35 °F,39 %,CALM,0 mph,0 mph,29.15 in,0.0 in,Fair
11,12:53 PM,62 °F,32 °F,32 %,W,8 mph,0 mph,29.12 in,0.0 in,Fair
12,1:53 PM,63 °F,34 °F,34 %,WSW,7 mph,0 mph,29.09 in,0.0 in,Fair
13,2:53 PM,63 °F,42 °F,46 %,SSW,9 mph,0 mph,29.07 in,0.0 in,Fair
14,3:53 PM,61 °F,41 °F,48 %,SSW,12 mph,0 mph,29.07 in,0.0 in,Fair
15,4:53 PM,61 °F,39 °F,44 %,S,7 mph,0 mph,29.06 in,0.0 in,Fair
16,5:22 PM,60 °F,40 °F,47 %,W,12 mph,0 mph,29.06 in,0.0 in,Fair
17,5:53 PM,59 °F,41 °F,51 %,W,9 mph,0 mph,29.06 in,0.0 in,Partly Cloudy
18,6:53 PM,57 °F,44 °F,62 %,W,8 mph,0 mph,29.06 in,0.0 in,Fair
19,7:53 PM,56 °F,44 °F,64 %,W,9 mph,0 mph,29.07 in,0.0 in,Mostly Cloudy
20,8:53 PM,56 °F,46 °F,69 %,WNW,5 mph,0 mph,29.08 in,0.0 in,Fair
