,Time,Temp,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip,Condition
0,Month 3 Day 20,Month 3 Day 20,Month 3 Day 20,Month 3 Day 20,Month 3 Day 20,Month 3 Day 20,Month 3 Day 20,Month 3 Day 20,Month 3 Day 20,Month 3 Day 20
0,12:53 AM,55 °F,41 °F,59 %,CALM,0 mph,0 mph,29.20 in,0.0 in,Fair
1,1:53 AM,55 °F,41 °F,59 %,E,5 mph,0 mph,29.21 in,0.0 in,Partly Cloudy
2,2:53 AM,53 °F,41 °F,64 %,NNE,3 mph,0 mph,29.20 in,0.0 in,Cloudy
3,3:53 AM,54 °F,41 °F,62 %,CALM,0 mph,0 mph,29.18 in,0.0 in,Cloudy
4,4:53 AM,55 °F,41 °F,59 %,VAR,5 mph,0 mph,29.18 in,0.0 in,Cloudy
5,5:53 AM,55 °F,41 °F,59 %,CALM,0 mph,0 mph,29.18 in,0.0 in,Cloudy
6,6:53 AM,56 °F,42 °F,60 %,CALM,0 mph,0 mph,29.18 in,0.0 in,Cloudy
7,7:53 AM,57 °F,41 °F,55 %,CALM,0 mph,0 mph,29.18 in,0.0 in,Cloudy
8,8:53 AM,58 °F,41 °F,53 %,WSW,3 mph,0 mph,29.19 in,0.0 in,Mostly Cloudy
9,9:53 AM,63 °F,39 °F,41 %,CALM,0 mph,0 mph,29.20 in,0.0 in,Mostly Cloudy
10,10:53 AM,67 °F,35 °F,31 %,VAR,5 mph,0 mph,29.19 in,0.0 in,Partly Cloudy
11,11:53 AM,69 °F,34 °F,27 %,VAR,3 mph,0 mph,29.19 in,0.0 in,Cloudy
12,12:53 PM,70 °F,36 °F,29 %,VAR,5 mph,0 mph,29.17 in,0.0 in,Cloudy
13,1:53 PM,69 °F,41 °F,36 %,S,6 mph,0 mph,29.15 in,0.0 in,Cloudy
14,2:53 PM,69 °F,41 °F,36 %,SSE,7 mph,0 mph,29.14 in,0.0 in,Mostly Cloudy
15,3:53 PM,68 °F,37 °F,32 %,CALM,0 mph,0 mph,29.11 in,0.0 in,Cloudy
16,4:53 PM,69 °F,33 °F,26 %,CALM,0 mph,0 mph,29.10 in,0.0 in,Cloudy
17,5:53 PM,69 °F,40 °F,35 %,WSW,6 mph,0 mph,29.10 in,0.0 in,Cloudy
18,6:53 PM,67 °F,39 °F,36 %,NW,8 mph,16 mph,29.12 in,0.0 in,Cloudy
19,6:57 PM,67 °F,39 °F,36 %,NW,9 mph,0 mph,29.12 in,0.0 in,Cloudy
20,7:53 PM,64 °F,40 °F,41 %,NW,9 mph,0 mph,29.14 in,0.0 in,Light Rain
21,8:53 PM,62 °F,42 °F,48 %,NNW,10 mph,0 mph,29.17 in,0.0 in,Cloudy
22,9:40 PM,61 °F,46 °F,58 %,NW,9 mph,0 mph,29.17 in,0.0 in,Light Rain
23,9:53 PM,59 °F,48 °F,67 %,NNW,12 mph,0 mph,29.17 in,0.0 in,Light Rain
24,10:53 PM,57 °F,52 °F,83 %,W,5 mph,0 mph,29.16 in,0.0 in,Cloudy
25,11:53 PM,57 °F,54 °F,89 %,W,3 mph,0 mph,29.15 in,0.0 in,Cloudy
27,Month 3 Day 21,Month 3 Day 21,Month 3 Day 21,Month 3 Day 21,Month 3 Day 21,Month 3 Day 21,Month 3 Day 21,Month 3 Day 21,Month 3 Day 21,Month 3 Day 21
0,12:53 AM,56 °F,51 °F,84 %,W,9 mph,0 mph,29.15 in,0.0 in,Mostly Cloudy
1,1:53 AM,55 °F,51 °F,86 %,CALM,0 mph,0 mph,29.14 in,0.0 in,Fair
2,2:53 AM,55 °F,52 °F,89 %,CALM,0 mph,0 mph,29.14 in,0.0 in,Mostly Cloudy
3,3:53 AM,54 °F,53 °F,97 %,CALM,0 mph,0 mph,29.12 in,0.0 in,Mostly Cloudy
4,4:53 AM,55 °F,53 °F,93 %,CALM,0 mph,0 mph,29.13 in,0.0 in,Cloudy
5,5:53 AM,56 °F,53 °F,90 %,CALM,0 mph,0 mph,29.14 in,0.0 in,Cloudy
6,6:53 AM,56 °F,53 °F,90 %,NNW,5 mph,0 mph,29.19 in,0.0 in,Light Rain
7,7:53 AM,59 °F,51 °F,75 %,NNW,7 mph,0 mph,29.16 in,0.0 in,Light Rain
8,8:53 AM,60 °F,53 °F,78 %,W,7 mph,0 mph,29.15 in,0.0 in,Cloudy
9,9:53 AM,60 °F,53 °F,78 %,S,6 mph,0 mph,29.18 in,0.0 in,Cloudy
10,10:41 AM,58 °F,56 °F,93 %,W,8 mph,0 mph,29.25 in,0.1 in,Heavy Rain
11,10:53 AM,56 °F,55 °F,97 %,VAR,6 mph,0 mph,29.25 in,0.1 in,Heavy Rain
12,11:25 AM,56 °F,56 °F,100 %,NNW,8 mph,0 mph,29.24 in,0.1 in,Rain
13,11:53 AM,57 °F,56 °F,96 %,SSE,8 mph,0 mph,29.23 in,0.2 in,Rain
14,12:53 PM,56 °F,54 °F,93 %,SSE,10 mph,0 mph,29.25 in,0.0 in,Light Rain
15,1:08 PM,55 °F,55 °F,100 %,SSE,8 mph,0 mph,29.25 in,0.0 in,Rain
16,1:37 PM,54 °F,54 °F,100 %,ESE,8 mph,0 mph,29.22 in,0.1 in,Light Rain
17,1:50 PM,54 °F,54 °F,100 %,S,8 mph,0 mph,29.23 in,0.1 in,Rain
18,1:53 PM,54 °F,54 °F,100 %,S,7 mph,0 mph,29.23 in,0.1 in,Rain
19,2:53 PM,54 °F,54 °F,100 %,NNW,3 mph,0 mph,29.21 in,0.1 in,Rain
20,3:13 PM,55 °F,55 °F,100 %,WSW,6 mph,0 mph,29.20 in,0.0 in,Light Rain
21,3:25 PM,56 °F,56 °F,100 %,WSW,5 mph,0 mph,29.19 in,0.0 in,Rain
22,3:53 PM,56 °F,56 °F,100 %,CALM,0 mph,0 mph,29.18 in,0.0 in,Light Rain
23,4:53 PM,58 °F,58 °F,100 %,CALM,0 mph,0 mph,29.18 in,0.0 in,Cloudy
24,5:53 PM,60 °F,58 °F,93 %,CALM,0 mph,0 mph,29.16 in,0.0 in,Cloudy
25,6:53 PM,60 °F,59 °F,96 %,WNW,3 mph,0 mph,29.16 in,0.0 in,Mostly Cloudy
26,7:53 PM,60 °F,59 °F,96 %,CALM,0 mph,0 mph,29.16 in,0.0 in,Cloudy
27,8:53 PM,59 °F,59 °F,100 %,WSW,3 mph,0 mph,29.15 in,0.0 in,Cloudy
28,9:53 PM,59 °F,59 °F,100 %,CALM,0 mph,0 mph,29.17 in,0.0 in,Cloudy
29,10:53 PM,59 °F,59 °F,100 %,W,7 mph,0 mph,29.13 in,0.0 in,Mostly Cloudy
30,11:53 PM,58 °F,58 °F,100 %,N,5 mph,0 mph,29.15 in,0.0 in,Cloudy
59,Month 3 Day 22,Month 3 Day 22,Month 3 Day 22,Month 3 Day 22,Month 3 Day 22,Month 3 Day 22,Month 3 Day 22,Month 3 Day 22,Month 3 Day 22,Month 3 Day 22
0,12:53 AM,59 °F,58 °F,96 %,NNW,7 mph,0 mph,29.15 in,0.0 in,Cloudy
1,1:53 AM,59 °F,59 °F,100 %,CALM,0 mph,0 mph,29.12 in,0.0 in,Light Rain
2,2:53 AM,58 °F,58 °F,100 %,VAR,3 mph,0 mph,29.11 in,0.0 in,Cloudy
3,3:53 AM,59 °F,59 °F,100 %,VAR,3 mph,0 mph,29.13 in,0.0 in,Cloudy
4,4:53 AM,60 °F,58 °F,93 %,CALM,0 mph,0 mph,29.12 in,0.0 in,Light Rain
5,5:53 AM,59 °F,59 °F,100 %,NE,6 mph,0 mph,29.14 in,0.0 in,Light Rain
6,6:53 AM,59 °F,59 °F,100 %,CALM,0 mph,0 mph,29.15 in,0.0 in,Light Rain
7,7:10 AM,59 °F,59 °F,100 %,SSW,3 mph,0 mph,29.16 in,0.0 in,Light Rain
