Time,Temp (F),Dew Point (F),Humidity (%),Wind,Wind Speed (mph),Wind Gust (mph),Pressure (in),Precip (in),Condition,average_measurement_time,elevation_m,intake_height_m,co2_ppm,co2_uncertainty,co2_SD_raw,co2_n_raw,co2_SD_minutes,co2_n_minutes,co2_min,co2_max,co2_flags
2018-01-01 00:53:00,49,38,66,WSW,6,0,29.29,0.0,Fair,2018-01-01T00:30:09Z,75,50,444.95,0.11,5.66,1012.0,5.57,55.0,437.38,460.7,...
2018-01-01 01:53:00,49,39,69,CALM,0,0,29.3,0.0,Fair,2018-01-01T01:19:53Z,75,50,462.94,0.15,2.35,719.0,2.38,39.0,458.1,466.0,...
2018-01-01 02:53:00,48,38,68,CALM,0,0,29.3,0.0,Haze,2018-01-01T02:29:31Z,75,50,444.76,0.1,3.35,857.0,3.35,46.0,439.73,451.64,...
2018-01-01 03:53:00,48,39,71,CALM,0,0,29.3,0.0,Partly Cloudy,2018-01-01T03:29:03Z,75,50,448.51,0.11,9.55,1045.0,9.44,56.0,440.55,474.78,...
2018-01-01 04:53:00,46,38,73,CALM,0,0,29.3,0.0,Fair,2018-01-01T04:29:03Z,75,50,487.85,0.2,7.87,1047.0,7.7,56.0,467.61,504.79,...
2018-01-01 05:53:00,46,37,71,CALM,0,0,29.3,0.0,Fair,2018-01-01T05:29:03Z,75,50,492.06,0.21,8.61,1050.0,8.57,56.0,474.68,510.44,...
2018-01-01 06:53:00,45,36,71,CALM,0,0,29.3,0.0,Partly Cloudy,2018-01-01T06:29:01Z,75,50,479.03,0.18,7.61,1055.0,7.39,56.0,463.84,493.85,...
2018-01-01 07:53:00,47,39,74,CALM,0,0,29.31,0.0,Fair,2018-01-01T07:29:30Z,75,50,475.3,0.18,9.61,1057.0,9.63,56.0,453.55,494.1,...
2018-01-01 08:53:00,54,40,59,CALM,0,0,29.33,0.0,Fair,2018-01-01T08:29:30Z,75,50,478.01,0.18,6.92,1058.0,6.53,56.0,466.28,491.98,...
2018-01-01 09:53:00,61,36,39,CALM,0,0,29.35,0.0,Fair,2018-01-01T09:29:30Z,75,50,465.99,0.16,5.2,1067.0,4.79,56.0,456.95,476.87,...
2018-01-01 10:53:00,66,36,33,CALM,0,0,29.34,0.0,Fair,2018-01-01T10:24:00Z,75,50,469.29,0.14,7.75,553.0,7.59,29.0,459.95,491.21,...
2018-01-01 11:53:00,70,35,28,WSW,5,0,29.31,0.0,Fair,2018-01-01T11:29:30Z,75,50,473.63,0.17,5.14,1055.0,5.09,55.0,460.92,483.26,...
2018-01-01 12:53:00,72,34,25,CALM,0,0,29.27,0.0,Fair,2018-01-01T12:29:30Z,75,50,481.26,0.19,5.37,1074.0,5.28,56.0,465.77,491.99,...
2018-01-01 13:53:00,74,33,22,VAR,3,0,29.24,0.0,Fair,2018-01-01T13:25:00Z,75,50,480.73,0.19,9.8,921.0,9.74,48.0,458.24,497.23,...
2018-01-01 14:53:00,74,34,23,SSE,5,0,29.25,0.0,Fair,2018-01-01T14:35:00Z,75,50,487.96,0.17,1.75,689.0,1.67,36.0,484.68,490.99,...
2018-01-01 15:53:00,70,46,42,S,3,0,29.26,0.0,Mostly Cloudy,2018-01-01T15:30:06Z,75,50,486.08,0.2,3.78,1086.0,3.58,58.0,477.98,492.07,...
2018-01-01 16:53:00,67,50,54,S,3,0,29.26,0.0,Cloudy,2018-01-01T16:29:45Z,75,50,473.08,0.17,6.98,1023.0,6.67,56.0,462.66,485.34,...
2018-01-01 17:53:00,62,48,60,SSE,8,0,29.28,0.0,Mostly Cloudy,2018-01-01T17:29:45Z,75,50,462.96,0.14,7.88,1025.0,7.9,56.0,451.58,476.3,...
2018-01-01 18:53:00,59,52,78,ESE,7,0,29.3,0.0,Partly Cloudy,2018-01-01T18:29:45Z,75,50,450.19,0.12,1.69,1030.0,1.67,56.0,446.76,452.96,...
2018-01-01 19:53:00,58,51,78,CALM,0,0,29.3,0.0,Partly Cloudy,2018-01-01T19:20:24Z,75,50,449.13,0.12,1.98,739.0,1.89,40.0,445.51,452.7,...
2018-01-01 20:53:00,58,50,75,CALM,0,0,29.3,0.0,Haze,2018-01-01T20:30:02Z,75,50,447.81,0.1,2.4,838.0,2.33,45.0,444.73,453.89,...
2018-01-01 21:53:00,56,48,75,CALM,0,0,29.32,0.0,Haze,2018-01-01T21:29:07Z,75,50,447.81,0.11,2.11,1044.0,1.79,56.0,445.66,455.63,...
2018-01-01 22:53:00,54,47,77,CALM,0,0,29.32,0.0,Haze,2018-01-01T22:29:07Z,75,50,458.97,0.14,6.27,1045.0,6.24,56.0,448.93,472.24,...
2018-01-01 23:53:00,54,47,77,E,3,0,29.32,0.0,Haze,2018-01-01T23:29:05Z,75,50,491.59,0.21,16.1,1046.0,16.23,56.0,472.37,515.5,...
2018-01-02 00:53:00,54,46,75,CALM,0,0,29.32,0.0,Fair,2018-01-02T00:29:30Z,75,50,501.13,0.24,7.97,1053.0,8.03,56.0,490.34,515.1,...
2018-01-02 01:53:00,54,45,72,CALM,0,0,29.32,0.0,Fair,2018-01-02T01:29:30Z,75,50,478.89,0.19,4.53,1059.0,4.59,56.0,473.58,493.22,...
2018-01-02 02:53:00,53,43,69,CALM,0,0,29.31,0.0,Fair,2018-01-02T02:29:30Z,75,50,481.71,0.19,1.82,1062.0,1.79,56.0,477.5,485.79,...
2018-01-02 03:53:00,54,44,69,CALM,0,0,29.31,0.0,Fair,2018-01-02T03:29:30Z,75,50,481.27,0.19,14.15,1069.0,14.16,56.0,475.1,555.67,...
