,Time,Temp,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip,Condition
0,2018-01-01 00:53:00,49 °F,38 °F,66 %,WSW,6 mph,0 mph,29.29 in,0.0 in,Fair
1,2018-01-01 01:53:00,49 °F,39 °F,69 %,CALM,0 mph,0 mph,29.30 in,0.0 in,Fair
2,2018-01-01 02:53:00,48 °F,38 °F,68 %,CALM,0 mph,0 mph,29.30 in,0.0 in,Haze
3,2018-01-01 03:53:00,48 °F,39 °F,71 %,CALM,0 mph,0 mph,29.30 in,0.0 in,Partly Cloudy
4,2018-01-01 04:53:00,46 °F,38 °F,73 %,CALM,0 mph,0 mph,29.30 in,0.0 in,Fair
5,2018-01-01 05:53:00,46 °F,37 °F,71 %,CALM,0 mph,0 mph,29.30 in,0.0 in,Fair
6,2018-01-01 06:53:00,45 °F,36 °F,71 %,CALM,0 mph,0 mph,29.30 in,0.0 in,Partly Cloudy
7,2018-01-01 07:53:00,47 °F,39 °F,74 %,CALM,0 mph,0 mph,29.31 in,0.0 in,Fair
8,2018-01-01 08:53:00,54 °F,40 °F,59 %,CALM,0 mph,0 mph,29.33 in,0.0 in,Fair
9,2018-01-01 09:53:00,61 °F,36 °F,39 %,CALM,0 mph,0 mph,29.35 in,0.0 in,Fair
10,2018-01-01 10:53:00,66 °F,36 °F,33 %,CALM,0 mph,0 mph,29.34 in,0.0 in,Fair
11,2018-01-01 11:53:00,70 °F,35 °F,28 %,WSW,5 mph,0 mph,29.31 in,0.0 in,Fair
12,2018-01-01 12:53:00,72 °F,34 °F,25 %,CALM,0 mph,0 mph,29.27 in,0.0 in,Fair
13,2018-01-01 13:53:00,74 °F,33 °F,22 %,VAR,3 mph,0 mph,29.24 in,0.0 in,Fair
14,2018-01-01 14:53:00,74 °F,34 °F,23 %,SSE,5 mph,0 mph,29.25 in,0.0 in,Fair
15,2018-01-01 15:53:00,70 °F,46 °F,42 %,S,3 mph,0 mph,29.26 in,0.0 in,Mostly Cloudy
16,2018-01-01 16:53:00,67 °F,50 °F,54 %,S,3 mph,0 mph,29.26 in,0.0 in,Cloudy
17,2018-01-01 17:53:00,62 °F,48 °F,60 %,SSE,8 mph,0 mph,29.28 in,0.0 in,Mostly Cloudy
18,2018-01-01 18:53:00,59 °F,52 °F,78 %,ESE,7 mph,0 mph,29.30 in,0.0 in,Partly Cloudy
19,2018-01-01 19:53:00,58 °F,51 °F,78 %,CALM,0 mph,0 mph,29.30 in,0.0 in,Partly Cloudy
20,2018-01-01 20:53:00,58 °F,50 °F,75 %,CALM,0 mph,0 mph,29.30 in,0.0 in,Haze
21,2018-01-01 21:53:00,56 °F,48 °F,75 %,CALM,0 mph,0 mph,29.32 in,0.0 in,Haze
22,2018-01-01 22:53:00,54 °F,47 °F,77 %,CALM,0 mph,0 mph,29.32 in,0.0 in,Haze
23,2018-01-01 23:53:00,54 °F,47 °F,77 %,E,3 mph,0 mph,29.32 in,0.0 in,Haze
24,2018-01-02 00:53:00,54 °F,46 °F,75 %,CALM,0 mph,0 mph,29.32 in,0.0 in,Fair
25,2018-01-02 01:53:00,54 °F,45 °F,72 %,CALM,0 mph,0 mph,29.32 in,0.0 in,Fair
26,2018-01-02 02:53:00,53 °F,43 °F,69 %,CALM,0 mph,0 mph,29.31 in,0.0 in,Fair
27,2018-01-02 03:53:00,54 °F,44 °F,69 %,CALM,0 mph,0 mph,29.31 in,0.0 in,Fair
28,2018-01-02 04:53:00,54 °F,45 °F,72 %,CALM,0 mph,0 mph,29.32 in,0.0 in,Fair
29,2018-01-02 05:53:00,55 °F,40 °F,57 %,CALM,0 mph,0 mph,29.32 in,0.0 in,Cloudy
30,2018-01-02 06:53:00,53 °F,42 °F,66 %,CALM,0 mph,0 mph,29.33 in,0.0 in,Cloudy
31,2018-01-02 07:53:00,54 °F,43 °F,66 %,NW,6 mph,0 mph,29.31 in,0.0 in,Fair
32,2018-01-02 08:53:00,56 °F,45 °F,67 %,W,5 mph,0 mph,29.33 in,0.0 in,Haze
33,2018-01-02 09:53:00,60 °F,45 °F,57 %,CALM,0 mph,0 mph,29.33 in,0.0 in,Fair
34,2018-01-02 10:53:00,65 °F,40 °F,40 %,CALM,0 mph,0 mph,29.31 in,0.0 in,Haze
35,2018-01-02 11:53:00,71 °F,37 °F,29 %,CALM,0 mph,0 mph,29.28 in,0.0 in,Fair
36,2018-01-02 12:53:00,76 °F,31 °F,19 %,SSE,3 mph,0 mph,29.24 in,0.0 in,Partly Cloudy
37,2018-01-02 13:53:00,80 °F,27 °F,14 %,SSE,3 mph,0 mph,29.22 in,0.0 in,Partly Cloudy
38,2018-01-02 14:53:00,81 °F,25 °F,13 %,S,3 mph,0 mph,29.22 in,0.0 in,Fair
39,2018-01-02 15:53:00,77 °F,43 °F,30 %,SSE,3 mph,0 mph,29.22 in,0.0 in,Partly Cloudy
40,2018-01-02 16:53:00,73 °F,47 °F,39 %,CALM,0 mph,0 mph,29.22 in,0.0 in,Cloudy
41,2018-01-02 17:53:00,68 °F,49 °F,50 %,CALM,0 mph,0 mph,29.22 in,0.0 in,Mostly Cloudy
42,2018-01-02 18:53:00,69 °F,36 °F,30 %,N,3 mph,0 mph,29.23 in,0.0 in,Cloudy
43,2018-01-02 19:53:00,67 °F,29 °F,24 %,CALM,0 mph,0 mph,29.23 in,0.0 in,Cloudy
44,2018-01-02 20:53:00,63 °F,33 °F,33 %,SW,3 mph,0 mph,29.24 in,0.0 in,Mostly Cloudy
45,2018-01-02 21:53:00,64 °F,36 °F,35 %,W,5 mph,0 mph,29.25 in,0.0 in,Mostly Cloudy
46,2018-01-02 22:53:00,63 °F,27 °F,26 %,N,6 mph,0 mph,29.25 in,0.0 in,Mostly Cloudy
47,2018-01-02 23:53:00,64 °F,24 °F,22 %,WNW,5 mph,0 mph,29.24 in,0.0 in,Mostly Cloudy
48,2018-01-03 00:53:00,62 °F,24 °F,23 %,CALM,0 mph,0 mph,29.23 in,0.0 in,Partly Cloudy
49,2018-01-03 01:53:00,59 °F,27 °F,29 %,CALM,0 mph,0 mph,29.24 in,0.0 in,Fair
50,2018-01-03 02:53:00,58 °F,25 °F,28 %,CALM,0 mph,0 mph,29.23 in,0.0 in,Fair
51,2018-01-03 03:53:00,56 °F,26 °F,32 %,CALM,0 mph,0 mph,29.23 in,0.0 in,Partly Cloudy
52,2018-01-03 04:53:00,55 °F,28 °F,35 %,NNW,5 mph,0 mph,29.21 in,0.0 in,Mostly Cloudy
53,2018-01-03 05:53:00,57 °F,26 °F,30 %,CALM,0 mph,0 mph,29.22 in,0.0 in,Mostly Cloudy
54,2018-01-03 06:53:00,54 °F,29 °F,38 %,CALM,0 mph,0 mph,29.23 in,0.0 in,Partly Cloudy
55,2018-01-03 07:53:00,56 °F,29 °F,36 %,CALM,0 mph,0 mph,29.24 in,0.0 in,Mostly Cloudy
56,2018-01-03 08:53:00,62 °F,30 °F,30 %,CALM,0 mph,0 mph,29.26 in,0.0 in,Cloudy
57,2018-01-03 09:53:00,64 °F,32 °F,30 %,CALM,0 mph,0 mph,29.26 in,0.0 in,Mostly Cloudy
58,2018-01-03 10:53:00,67 °F,33 °F,28 %,CALM,0 mph,0 mph,29.27 in,0.0 in,Cloudy
59,2018-01-03 11:53:00,71 °F,28 °F,20 %,CALM,0 mph,0 mph,29.22 in,0.0 in,Cloudy
