,Time,Temp,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Precip,Condition
0,Month 10 Day 1,Month 10 Day 1,Month 10 Day 1,Month 10 Day 1,Month 10 Day 1,Month 10 Day 1,Month 10 Day 1,Month 10 Day 1,Month 10 Day 1,Month 10 Day 1
1,12:53 AM,70 °F,57 °F,63%,W,3 mph,0 mph,29.05 in,0.0 in,Partly Cloudy
2,1:53 AM,69 °F,52 °F,54%,WSW,5 mph,0 mph,29.04 in,0.0 in,Partly Cloudy
3,2:53 AM,69 °F,53 °F,57%,WSW,3 mph,0 mph,29.03 in,0.0 in,Mostly Cloudy
4,3:53 AM,68 °F,52 °F,56%,SSE,6 mph,0 mph,29.04 in,0.0 in,Mostly Cloudy
5,4:53 AM,68 °F,52 °F,56%,CALM,0 mph,0 mph,29.04 in,0.0 in,Fair
6,5:53 AM,69 °F,52 °F,54%,W,3 mph,0 mph,29.05 in,0.0 in,Fair
7,6:53 AM,69 °F,52 °F,54%,CALM,0 mph,0 mph,29.04 in,0.0 in,Fair
8,7:53 AM,75 °F,52 °F,44%,SW,3 mph,0 mph,29.04 in,0.0 in,Fair
9,8:53 AM,81 °F,51 °F,35%,WSW,3 mph,0 mph,29.03 in,0.0 in,Fair
10,9:53 AM,84 °F,53 °F,34%,VAR,3 mph,0 mph,29.03 in,0.0 in,Fair
11,10:53 AM,86 °F,56 °F,36%,SE,5 mph,0 mph,29.01 in,0.0 in,Fair
12,11:53 AM,88 °F,57 °F,35%,SSW,8 mph,0 mph,28.98 in,0.0 in,Fair
13,12:53 PM,89 °F,58 °F,35%,VAR,5 mph,0 mph,28.97 in,0.0 in,Fair
14,1:53 PM,90 °F,58 °F,34%,SSW,8 mph,0 mph,28.95 in,0.0 in,Fair
15,2:53 PM,88 °F,58 °F,36%,VAR,7 mph,0 mph,28.95 in,0.0 in,Fair
16,3:53 PM,88 °F,59 °F,37%,S,10 mph,0 mph,28.94 in,0.0 in,Fair
17,4:53 PM,85 °F,60 °F,43%,S,7 mph,0 mph,28.94 in,0.0 in,Partly Cloudy
18,5:53 PM,83 °F,61 °F,47%,S,5 mph,0 mph,28.95 in,0.0 in,Fair
19,6:53 PM,81 °F,61 °F,50%,S,5 mph,0 mph,28.96 in,0.0 in,Fair
20,7:53 PM,80 °F,62 °F,54%,S,3 mph,0 mph,28.97 in,0.0 in,Fair
21,8:53 PM,80 °F,58 °F,47%,CALM,0 mph,0 mph,28.97 in,0.0 in,Fair
22,9:53 PM,77 °F,59 °F,54%,SE,3 mph,0 mph,28.97 in,0.0 in,Fair
23,10:53 PM,77 °F,60 °F,56%,ESE,5 mph,0 mph,28.97 in,0.0 in,Partly Cloudy
24,11:53 PM,75 °F,60 °F,60%,ESE,7 mph,0 mph,28.98 in,0.0 in,Mostly Cloudy
25,Month 10 Day 2,Month 10 Day 2,Month 10 Day 2,Month 10 Day 2,Month 10 Day 2,Month 10 Day 2,Month 10 Day 2,Month 10 Day 2,Month 10 Day 2,Month 10 Day 2
1,12:53 AM,75 °F,58 °F,55%,CALM,0 mph,0 mph,28.98 in,0.0 in,Mostly Cloudy
2,1:53 AM,75 °F,59 °F,57%,CALM,0 mph,0 mph,28.97 in,0.0 in,Partly Cloudy
3,2:53 AM,74 °F,58 °F,57%,CALM,0 mph,0 mph,28.97 in,0.0 in,Mostly Cloudy
4,3:53 AM,73 °F,59 °F,61%,CALM,0 mph,0 mph,28.98 in,0.0 in,Mostly Cloudy
5,4:53 AM,74 °F,58 °F,57%,SE,5 mph,0 mph,28.98 in,0.0 in,Mostly Cloudy
6,5:53 AM,73 °F,59 °F,61%,ESE,5 mph,0 mph,28.98 in,0.0 in,Cloudy
7,6:53 AM,73 °F,60 °F,64%,VAR,3 mph,0 mph,28.98 in,0.0 in,Cloudy
8,7:53 AM,74 °F,61 °F,64%,SE,7 mph,0 mph,29.01 in,0.0 in,Cloudy
9,8:53 AM,74 °F,63 °F,68%,ESE,12 mph,0 mph,29.02 in,0.0 in,Mostly Cloudy
10,9:53 AM,74 °F,62 °F,66%,S,12 mph,0 mph,29.04 in,0.0 in,Cloudy
11,10:53 AM,76 °F,58 °F,54%,SE,9 mph,0 mph,29.04 in,0.0 in,Mostly Cloudy
12,11:53 AM,76 °F,46 °F,35%,S,8 mph,0 mph,29.05 in,0.0 in,Cloudy
13,12:53 PM,77 °F,48 °F,36%,S,8 mph,0 mph,29.04 in,0.0 in,Mostly Cloudy
14,1:53 PM,78 °F,49 °F,36%,S,10 mph,0 mph,29.03 in,0.0 in,Cloudy
15,2:53 PM,79 °F,49 °F,35%,S,12 mph,0 mph,29.04 in,0.0 in,Cloudy
16,3:53 PM,76 °F,51 °F,42%,S,12 mph,0 mph,29.04 in,0.0 in,Partly Cloudy
17,4:53 PM,72 °F,52 °F,49%,SSW,9 mph,0 mph,29.05 in,0.0 in,Cloudy
18,5:53 PM,70 °F,54 °F,57%,SE,8 mph,0 mph,29.07 in,0.0 in,Cloudy
19,6:53 PM,69 °F,55 °F,61%,SE,8 mph,0 mph,29.08 in,0.0 in,Cloudy
20,7:53 PM,69 °F,55 °F,61%,VAR,7 mph,0 mph,29.09 in,0.0 in,Cloudy
21,8:53 PM,68 °F,56 °F,65%,S,6 mph,0 mph,29.10 in,0.0 in,Mostly Cloudy
22,9:53 PM,67 °F,56 °F,68%,SE,5 mph,0 mph,29.10 in,0.0 in,Cloudy
23,10:53 PM,67 °F,54 °F,63%,SSE,3 mph,0 mph,29.11 in,0.0 in,Mostly Cloudy
0,11:53 PM,67 °F,58 °F,73%,S,3 mph,0 mph,29.10 in,0.0 in,Cloudy
50,Month 10 Day 3,Month 10 Day 3,Month 10 Day 3,Month 10 Day 3,Month 10 Day 3,Month 10 Day 3,Month 10 Day 3,Month 10 Day 3,Month 10 Day 3,Month 10 Day 3
1,12:53 AM,67 °F,56 °F,68%,S,5 mph,0 mph,29.12 in,0.0 in,Cloudy
2,1:53 AM,67 °F,57 °F,70%,CALM,0 mph,0 mph,29.11 in,0.0 in,Cloudy
3,2:53 AM,67 °F,57 °F,70%,CALM,0 mph,0 mph,29.09 in,0.0 in,Cloudy
4,3:53 AM,66 °F,60 °F,81%,S,3 mph,0 mph,29.09 in,0.0 in,Cloudy
5,4:53 AM,66 °F,59 °F,78%,S,3 mph,0 mph,29.10 in,0.0 in,Cloudy
6,5:53 AM,66 °F,62 °F,87%,SE,5 mph,0 mph,29.10 in,0.0 in,Cloudy
7,6:53 AM,67 °F,62 °F,84%,SE,6 mph,0 mph,29.12 in,0.0 in,Cloudy
8,7:53 AM,67 °F,62 °F,84%,SE,8 mph,0 mph,29.14 in,0.0 in,Cloudy
9,8:53 AM,69 °F,60 °F,73%,SE,9 mph,0 mph,29.13 in,0.0 in,Cloudy
10,9:53 AM,70 °F,59 °F,68%,SE,10 mph,0 mph,29.13 in,0.0 in,Cloudy
11,10:53 AM,72 °F,57 °F,59%,SSE,8 mph,0 mph,29.12 in,0.0 in,Mostly Cloudy
12,11:53 AM,72 °F,59 °F,64%,ESE,10 mph,0 mph,29.11 in,0.0 in,Cloudy
13,12:53 PM,73 °F,59 °F,61%,S,7 mph,0 mph,29.09 in,0.0 in,Cloudy
14,1:53 PM,74 °F,57 °F,55%,ESE,8 mph,0 mph,29.07 in,0.0 in,Fair
15,2:53 PM,73 °F,59 °F,61%,SSW,9 mph,0 mph,29.07 in,0.0 in,Cloudy
16,3:53 PM,71 °F,61 °F,70%,S,7 mph,0 mph,29.07 in,0.0 in,Cloudy
17,4:53 PM,69 °F,61 °F,75%,SSW,7 mph,0 mph,29.08 in,0.0 in,Cloudy
18,5:53 PM,68 °F,62 °F,81%,S,3 mph,0 mph,29.07 in,0.0 in,Cloudy
19,6:53 PM,69 °F,62 °F,78%,SSE,5 mph,0 mph,29.09 in,0.0 in,Cloudy
20,7:53 PM,68 °F,62 °F,81%,S,7 mph,0 mph,29.09 in,0.0 in,Cloudy
21,8:48 PM,66 °F,61 °F,83%,SSW,7 mph,0 mph,29.11 in,0.0 in,Cloudy
22,8:53 PM,67 °F,60 °F,79%,SW,8 mph,0 mph,29.11 in,0.0 in,Cloudy
23,9:53 PM,67 °F,61 °F,81%,CALM,0 mph,0 mph,29.12 in,0.0 in,Cloudy
24,10:23 PM,66 °F,62 °F,87%,E,3 mph,0 mph,29.12 in,0.0 in,Cloudy
25,10:53 PM,66 °F,62 °F,87%,CALM,0 mph,0 mph,29.12 in,0.0 in,Partly Cloudy
0,11:53 PM,65 °F,63 °F,93%,CALM,0 mph,0 mph,29.12 in,0.0 in,Cloudy
77,Month 10 Day 4,Month 10 Day 4,Month 10 Day 4,Month 10 Day 4,Month 10 Day 4,Month 10 Day 4,Month 10 Day 4,Month 10 Day 4,Month 10 Day 4,Month 10 Day 4
1,12:53 AM,66 °F,62 °F,87%,CALM,0 mph,0 mph,29.12 in,0.0 in,Cloudy
2,1:00 AM,66 °F,62 °F,87%,CALM,0 mph,0 mph,29.12 in,0.0 in,Cloudy
3,1:53 AM,65 °F,62 °F,90%,SW,3 mph,0 mph,29.11 in,0.0 in,Mostly Cloudy
4,2:53 AM,63 °F,62 °F,97%,CALM,0 mph,0 mph,29.10 in,0.0 in,Fair
5,3:53 AM,63 °F,61 °F,93%,NNW,3 mph,0 mph,29.11 in,0.0 in,Partly Cloudy
6,4:53 AM,62 °F,60 °F,93%,CALM,0 mph,0 mph,29.13 in,0.0 in,Partly Cloudy
7,5:53 AM,61 °F,60 °F,97%,CALM,0 mph,0 mph,29.14 in,0.0 in,Fair
8,6:53 AM,62 °F,62 °F,100%,S,3 mph,0 mph,29.16 in,0.0 in,Fair
9,7:07 AM,62 °F,62 °F,100%,SSW,3 mph,0 mph,29.17 in,0.0 in,Mostly Cloudy
10,7:53 AM,64 °F,62 °F,93%,CALM,0 mph,0 mph,29.18 in,0.0 in,Cloudy
11,8:05 AM,64 °F,62 °F,93%,S,3 mph,0 mph,29.18 in,0.0 in,Cloudy
12,8:53 AM,67 °F,61 °F,81%,SSW,3 mph,0 mph,29.19 in,0.0 in,Fair
13,9:53 AM,70 °F,57 °F,63%,VAR,3 mph,0 mph,29.17 in,0.0 in,Fair
14,10:53 AM,73 °F,57 °F,57%,SSW,5 mph,0 mph,29.16 in,0.0 in,Mostly Cloudy
15,11:53 AM,73 °F,58 °F,59%,SSW,5 mph,0 mph,29.14 in,0.0 in,Fair
16,12:53 PM,74 °F,57 °F,55%,SSW,12 mph,0 mph,29.13 in,0.0 in,Partly Cloudy
17,1:53 PM,74 °F,56 °F,53%,SSW,10 mph,0 mph,29.12 in,0.0 in,Fair
18,2:53 PM,74 °F,57 °F,55%,S,12 mph,0 mph,29.12 in,0.0 in,Mostly Cloudy
19,3:53 PM,72 °F,58 °F,61%,S,12 mph,0 mph,29.11 in,0.0 in,Partly Cloudy
20,4:53 PM,71 °F,58 °F,63%,S,9 mph,0 mph,29.11 in,0.0 in,Partly Cloudy
21,5:53 PM,69 °F,58 °F,68%,SSE,6 mph,0 mph,29.12 in,0.0 in,Partly Cloudy
22,6:53 PM,69 °F,58 °F,68%,WNW,3 mph,0 mph,29.12 in,0.0 in,Partly Cloudy
23,7:53 PM,67 °F,58 °F,73%,W,6 mph,0 mph,29.13 in,0.0 in,Partly Cloudy
24,8:53 PM,66 °F,59 °F,78%,W,6 mph,0 mph,29.13 in,0.0 in,Partly Cloudy
25,9:53 PM,65 °F,59 °F,81%,W,5 mph,0 mph,29.14 in,0.0 in,Fair
26,10:53 PM,64 °F,59 °F,84%,W,7 mph,0 mph,29.14 in,0.0 in,Cloudy
0,11:53 PM,63 °F,59 °F,87%,NW,5 mph,0 mph,29.14 in,0.0 in,Fair
105,Month 10 Day 5,Month 10 Day 5,Month 10 Day 5,Month 10 Day 5,Month 10 Day 5,Month 10 Day 5,Month 10 Day 5,Month 10 Day 5,Month 10 Day 5,Month 10 Day 5
1,12:53 AM,63 °F,59 °F,87%,CALM,0 mph,0 mph,29.15 in,0.0 in,Partly Cloudy
2,1:53 AM,62 °F,59 °F,90%,SSE,3 mph,0 mph,29.13 in,0.0 in,Fair
3,2:53 AM,61 °F,59 °F,93%,CALM,0 mph,0 mph,29.14 in,0.0 in,Fair
4,3:30 AM,60 °F,58 °F,93%,CALM,0 mph,0 mph,29.13 in,0.0 in,Fair
5,3:53 AM,61 °F,59 °F,93%,CALM,0 mph,0 mph,29.14 in,0.0 in,Partly Cloudy
6,4:03 AM,61 °F,59 °F,93%,CALM,0 mph,0 mph,29.14 in,0.0 in,Mostly Cloudy
7,4:53 AM,62 °F,60 °F,93%,SSE,5 mph,0 mph,29.14 in,0.0 in,Cloudy
8,5:22 AM,61 °F,60 °F,97%,VAR,3 mph,0 mph,29.15 in,0.0 in,Partly Cloudy
9,5:37 AM,61 °F,60 °F,97%,CALM,0 mph,0 mph,29.15 in,0.0 in,Mostly Cloudy
10,5:40 AM,61 °F,60 °F,97%,CALM,0 mph,0 mph,29.15 in,0.0 in,Mostly Cloudy
11,5:53 AM,61 °F,60 °F,97%,CALM,0 mph,0 mph,29.15 in,0.0 in,Mostly Cloudy
12,6:53 AM,62 °F,59 °F,90%,WSW,3 mph,0 mph,29.17 in,0.0 in,Mostly Cloudy
13,7:53 AM,63 °F,59 °F,87%,S,3 mph,0 mph,29.18 in,0.0 in,Mostly Cloudy
14,8:36 AM,65 °F,60 °F,84%,SSE,5 mph,0 mph,29.17 in,0.0 in,Partly Cloudy
15,8:53 AM,66 °F,59 °F,78%,CALM,0 mph,0 mph,29.17 in,0.0 in,Fair
16,9:53 AM,70 °F,59 °F,68%,VAR,3 mph,0 mph,29.15 in,0.0 in,Fair
17,10:53 AM,74 °F,58 °F,57%,ESE,9 mph,0 mph,29.13 in,0.0 in,Fair
18,11:53 AM,74 °F,60 °F,62%,SSE,9 mph,0 mph,29.12 in,0.0 in,Fair
19,12:53 PM,74 °F,60 °F,62%,SSE,9 mph,0 mph,29.09 in,0.0 in,Fair
20,1:53 PM,74 °F,59 °F,59%,S,10 mph,0 mph,29.07 in,0.0 in,Fair
21,2:53 PM,75 °F,59 °F,57%,SSE,13 mph,0 mph,29.06 in,0.0 in,Fair
22,3:53 PM,73 °F,58 °F,59%,S,9 mph,0 mph,29.05 in,0.0 in,Fair
23,4:53 PM,72 °F,60 °F,66%,S,7 mph,0 mph,29.05 in,0.0 in,Fair
24,5:53 PM,69 °F,61 °F,75%,S,6 mph,0 mph,29.05 in,0.0 in,Fair
25,6:53 PM,68 °F,61 °F,78%,SSE,5 mph,0 mph,29.05 in,0.0 in,Fair
26,7:53 PM,67 °F,61 °F,81%,VAR,5 mph,0 mph,29.06 in,0.0 in,Fair
27,8:53 PM,66 °F,62 °F,87%,S,5 mph,0 mph,29.05 in,0.0 in,Fair
28,9:53 PM,66 °F,62 °F,87%,ESE,9 mph,0 mph,29.05 in,0.0 in,Fair
29,10:53 PM,65 °F,62 °F,90%,ESE,3 mph,0 mph,29.05 in,0.0 in,Partly Cloudy
0,11:53 PM,65 °F,61 °F,87%,CALM,0 mph,0 mph,29.04 in,0.0 in,Fair
136,Month 10 Day 6,Month 10 Day 6,Month 10 Day 6,Month 10 Day 6,Month 10 Day 6,Month 10 Day 6,Month 10 Day 6,Month 10 Day 6,Month 10 Day 6,Month 10 Day 6
1,12:53 AM,64 °F,60 °F,87%,CALM,0 mph,0 mph,29.03 in,0.0 in,Partly Cloudy
2,1:53 AM,62 °F,58 °F,86%,CALM,0 mph,0 mph,29.01 in,0.0 in,Fair
3,2:53 AM,63 °F,59 °F,87%,E,3 mph,0 mph,29.00 in,0.0 in,Fair
4,3:53 AM,62 °F,59 °F,90%,E,5 mph,0 mph,28.99 in,0.0 in,Fair
5,4:53 AM,62 °F,61 °F,96%,ESE,8 mph,0 mph,29.00 in,0.0 in,Partly Cloudy
6,4:55 AM,62 °F,61 °F,96%,ESE,8 mph,0 mph,29.00 in,0.0 in,Cloudy
7,5:53 AM,62 °F,61 °F,96%,SE,5 mph,0 mph,29.02 in,0.0 in,Cloudy
8,6:53 AM,63 °F,61 °F,93%,E,6 mph,0 mph,29.02 in,0.0 in,Cloudy
9,7:22 AM,63 °F,60 °F,90%,ENE,5 mph,0 mph,29.03 in,0.0 in,Cloudy
10,7:53 AM,63 °F,60 °F,90%,CALM,0 mph,0 mph,29.03 in,0.0 in,Cloudy
11,8:31 AM,64 °F,60 °F,87%,SE,5 mph,0 mph,29.02 in,0.0 in,Mostly Cloudy
12,8:53 AM,65 °F,60 °F,84%,SSE,5 mph,0 mph,29.02 in,0.0 in,Fair
13,9:53 AM,68 °F,59 °F,73%,CALM,0 mph,0 mph,29.02 in,0.0 in,Fair
14,10:53 AM,71 °F,58 °F,63%,VAR,5 mph,0 mph,29.00 in,0.0 in,Fair
15,11:53 AM,73 °F,58 °F,59%,SSE,7 mph,0 mph,28.98 in,0.0 in,Fair
16,12:53 PM,73 °F,60 °F,64%,S,12 mph,0 mph,28.95 in,0.0 in,Partly Cloudy
17,1:53 PM,71 °F,61 °F,70%,S,14 mph,0 mph,28.94 in,0.0 in,Fair
18,2:53 PM,70 °F,61 °F,73%,SSW,13 mph,0 mph,28.93 in,0.0 in,Partly Cloudy
19,3:53 PM,68 °F,61 °F,78%,S,9 mph,0 mph,28.93 in,0.0 in,Mostly Cloudy
20,4:53 PM,68 °F,61 °F,78%,S,7 mph,0 mph,28.92 in,0.0 in,Partly Cloudy
21,5:53 PM,66 °F,60 °F,81%,SSW,8 mph,0 mph,28.92 in,0.0 in,Partly Cloudy
22,6:42 PM,66 °F,60 °F,81%,SE,6 mph,0 mph,28.93 in,0.0 in,Mostly Cloudy
23,6:53 PM,66 °F,60 °F,81%,SSE,7 mph,0 mph,28.93 in,0.0 in,Cloudy
24,7:27 PM,66 °F,60 °F,81%,S,5 mph,0 mph,28.94 in,0.0 in,Partly Cloudy
25,7:53 PM,65 °F,60 °F,84%,S,5 mph,0 mph,28.95 in,0.0 in,Fair
26,8:24 PM,65 °F,60 °F,84%,SE,5 mph,0 mph,28.95 in,0.0 in,Mostly Cloudy
27,8:45 PM,65 °F,60 °F,84%,SSW,5 mph,0 mph,28.95 in,0.0 in,Partly Cloudy
28,8:53 PM,65 °F,60 °F,84%,S,6 mph,0 mph,28.95 in,0.0 in,Fair
29,9:53 PM,65 °F,61 °F,87%,CALM,0 mph,0 mph,28.95 in,0.0 in,Partly Cloudy
30,10:53 PM,64 °F,61 °F,90%,SW,5 mph,0 mph,28.96 in,0.0 in,Mostly Cloudy
0,11:53 PM,64 °F,61 °F,90%,E,5 mph,0 mph,28.96 in,0.0 in,Mostly Cloudy
168,Month 10 Day 7,Month 10 Day 7,Month 10 Day 7,Month 10 Day 7,Month 10 Day 7,Month 10 Day 7,Month 10 Day 7,Month 10 Day 7,Month 10 Day 7,Month 10 Day 7
1,12:53 AM,63 °F,60 °F,90%,SSE,5 mph,0 mph,28.96 in,0.0 in,Mostly Cloudy
2,1:00 AM,63 °F,60 °F,90%,SSE,3 mph,0 mph,28.96 in,0.0 in,Partly Cloudy
3,1:53 AM,62 °F,60 °F,93%,E,5 mph,0 mph,28.95 in,0.0 in,Fair
4,2:26 AM,61 °F,59 °F,93%,CALM,0 mph,0 mph,28.94 in,0.0 in,Fair
5,2:53 AM,60 °F,58 °F,93%,NNW,5 mph,0 mph,28.92 in,0.0 in,Fair
6,3:53 AM,60 °F,57 °F,90%,W,8 mph,0 mph,28.92 in,0.0 in,Fair
7,4:53 AM,59 °F,57 °F,93%,WNW,7 mph,0 mph,28.93 in,0.0 in,Fair
8,5:53 AM,59 °F,56 °F,90%,E,5 mph,0 mph,28.96 in,0.0 in,Fair
9,6:53 AM,61 °F,59 °F,93%,E,8 mph,0 mph,28.98 in,0.0 in,Fair
10,7:53 AM,63 °F,59 °F,87%,ESE,8 mph,0 mph,28.99 in,0.0 in,Fair
11,8:53 AM,65 °F,57 °F,75%,SE,8 mph,0 mph,28.98 in,0.0 in,Fair
12,9:53 AM,70 °F,55 °F,59%,SE,7 mph,0 mph,28.98 in,0.0 in,Fair
13,10:53 AM,72 °F,57 °F,59%,S,8 mph,0 mph,28.98 in,0.0 in,Fair
14,11:53 AM,74 °F,57 °F,55%,S,9 mph,0 mph,28.96 in,0.0 in,Fair
15,12:53 PM,74 °F,58 °F,57%,SSE,8 mph,0 mph,28.94 in,0.0 in,Partly Cloudy
16,1:53 PM,73 °F,59 °F,61%,S,10 mph,0 mph,28.93 in,0.0 in,Fair
17,2:53 PM,71 °F,58 °F,63%,SSW,13 mph,0 mph,28.94 in,0.0 in,Partly Cloudy
18,3:53 PM,71 °F,57 °F,61%,SSE,12 mph,0 mph,28.94 in,0.0 in,Fair
19,4:53 PM,69 °F,56 °F,63%,S,9 mph,0 mph,28.95 in,0.0 in,Partly Cloudy
20,5:53 PM,66 °F,54 °F,65%,SSW,8 mph,0 mph,28.96 in,0.0 in,Fair
21,6:53 PM,65 °F,53 °F,65%,S,3 mph,0 mph,28.97 in,0.0 in,Fair
22,7:53 PM,66 °F,53 °F,63%,CALM,0 mph,0 mph,28.98 in,0.0 in,Fair
23,8:53 PM,65 °F,51 °F,61%,CALM,0 mph,0 mph,28.98 in,0.0 in,Fair
24,9:53 PM,64 °F,52 °F,65%,SSE,5 mph,0 mph,28.99 in,0.0 in,Fair
25,10:53 PM,63 °F,54 °F,72%,SE,3 mph,0 mph,28.99 in,0.0 in,Partly Cloudy
0,11:53 PM,62 °F,54 °F,75%,CALM,0 mph,0 mph,29.00 in,0.0 in,Partly Cloudy
195,Month 10 Day 8,Month 10 Day 8,Month 10 Day 8,Month 10 Day 8,Month 10 Day 8,Month 10 Day 8,Month 10 Day 8,Month 10 Day 8,Month 10 Day 8,Month 10 Day 8
1,12:53 AM,60 °F,54 °F,80%,NNW,3 mph,0 mph,29.01 in,0.0 in,Partly Cloudy
2,1:53 AM,60 °F,54 °F,80%,CALM,0 mph,0 mph,29.00 in,0.0 in,Fair
3,2:53 AM,59 °F,53 °F,81%,CALM,0 mph,0 mph,28.99 in,0.0 in,Fair
4,3:53 AM,58 °F,54 °F,87%,CALM,0 mph,0 mph,28.99 in,0.0 in,Fair
5,4:53 AM,57 °F,53 °F,87%,CALM,0 mph,0 mph,29.00 in,0.0 in,Fair
6,5:53 AM,56 °F,53 °F,90%,CALM,0 mph,0 mph,29.01 in,0.0 in,Fair
7,6:20 AM,57 °F,52 °F,83%,CALM,0 mph,0 mph,29.02 in,0.0 in,Mostly Cloudy
8,6:28 AM,57 °F,53 °F,87%,CALM,0 mph,0 mph,29.02 in,0.0 in,Partly Cloudy
9,6:53 AM,59 °F,54 °F,83%,CALM,0 mph,0 mph,29.02 in,0.0 in,Partly Cloudy
10,7:53 AM,63 °F,56 °F,78%,CALM,0 mph,0 mph,29.03 in,0.0 in,Partly Cloudy
11,8:53 AM,65 °F,57 °F,75%,VAR,3 mph,0 mph,29.03 in,0.0 in,Fair
12,9:53 AM,68 °F,56 °F,65%,SE,5 mph,0 mph,29.03 in,0.0 in,Fair
13,10:53 AM,72 °F,55 °F,55%,VAR,5 mph,0 mph,29.02 in,0.0 in,Fair
14,11:53 AM,73 °F,55 °F,53%,SSE,7 mph,0 mph,29.00 in,0.0 in,Fair
15,12:53 PM,74 °F,58 °F,57%,SSE,10 mph,0 mph,28.98 in,0.0 in,Fair
16,1:53 PM,73 °F,58 °F,59%,S,12 mph,0 mph,28.96 in,0.0 in,Fair
17,2:53 PM,73 °F,54 °F,51%,S,12 mph,0 mph,28.96 in,0.0 in,Fair
18,3:53 PM,73 °F,52 °F,48%,SSE,10 mph,0 mph,28.95 in,0.0 in,Fair
19,4:53 PM,71 °F,55 °F,57%,S,7 mph,0 mph,28.96 in,0.0 in,Fair
20,5:53 PM,67 °F,58 °F,73%,S,9 mph,0 mph,28.96 in,0.0 in,Fair
21,6:53 PM,64 °F,60 °F,87%,S,6 mph,0 mph,28.98 in,0.0 in,Fair
