,Time,Temp (F),Dew Point (F),Humidity (%),Wind,Wind Speed (mph),Wind Gust (mph),Pressure (in),Precip (in),Condition,average_measurement_time,elevation_m,intake_height_m,co2_ppm,co2_uncertainty,co2_SD_raw,co2_n_raw,co2_SD_minutes,co2_n_minutes,co2_min,co2_max,co2_flags
2160,2018-04-01 00:53:00,56,53,90,CALM,0,0,29.13,0.0,Cloudy,2018-04-01T00:28:59Z,75,50,444.23,0.11,1.23,1013.0,1.21,56.0,441.82,446.32,...
2161,2018-04-01 01:53:00,56,53,90,ESE,6,0,29.12,0.0,Cloudy,2018-04-01T01:29:30Z,75,50,434.29,0.09,6.48,1018.0,6.51,56.0,424.63,445.13,...
2162,2018-04-01 02:53:00,55,53,93,ENE,3,0,29.1,0.0,Cloudy,2018-04-01T02:29:30Z,75,50,424.74,0.07,1.42,1021.0,1.39,56.0,422.32,428.92,...
2163,2018-04-01 03:53:00,55,53,93,SSE,5,0,29.09,0.0,Cloudy,2018-04-01T03:29:30Z,75,50,426.34,0.07,1.69,1023.0,1.68,56.0,423.39,429.55,...
2164,2018-04-01 04:53:00,54,53,97,SE,6,0,29.09,0.0,Cloudy,2018-04-01T04:29:30Z,75,50,431.39,0.08,1.11,1031.0,1.1,56.0,429.77,434.27,...
2165,2018-04-01 05:53:00,54,53,97,SE,6,0,29.09,0.0,Fog,2018-04-01T05:36:00Z,75,50,436.14,0.08,1.49,520.0,1.51,28.0,433.14,437.71,...
2166,2018-04-01 06:53:00,54,53,97,SE,6,0,29.1,0.0,Fog,2018-04-01T06:29:30Z,75,50,438.71,0.1,0.81,1041.0,0.8,56.0,436.87,439.79,...
2167,2018-04-01 07:53:00,55,53,93,S,3,0,29.11,0.0,Fog,2018-04-01T07:29:30Z,75,50,437.32,0.09,0.9,1043.0,0.83,56.0,435.16,440.93,...
2168,2018-04-01 08:53:00,58,53,84,E,3,0,29.11,0.0,Haze,2018-04-01T08:26:00Z,75,50,434.53,0.08,1.69,521.0,1.69,28.0,432.15,436.45,...
2169,2018-04-01 09:53:00,62,54,75,SSE,6,0,29.11,0.0,Haze,2018-04-01T09:29:11Z,75,50,431.67,0.08,0.83,995.0,0.79,56.0,429.91,432.96,...
2170,2018-04-01 10:53:00,66,53,63,VAR,3,0,29.09,0.0,Haze,2018-04-01T10:29:11Z,75,50,430.72,0.08,0.35,1001.0,0.3,56.0,430.19,431.74,...
2171,2018-04-01 11:53:00,69,53,57,S,8,0,29.07,0.0,Haze,2018-04-01T11:29:11Z,75,50,431.12,0.08,0.37,1004.0,0.34,56.0,430.57,432.03,...
2172,2018-04-01 12:53:00,70,52,53,S,10,20,29.05,0.0,Partly Cloudy,2018-04-01T12:29:11Z,75,50,429.81,0.08,0.57,1007.0,0.57,56.0,428.78,431.11,...
2173,2018-04-01 13:53:00,68,52,56,S,10,0,29.04,0.0,Fair,2018-04-01T13:29:11Z,75,50,431.0,0.08,0.5,1008.0,0.44,56.0,430.2,432.0,...
2174,2018-04-01 14:53:00,67,52,59,S,10,0,29.03,0.0,Fair,2018-04-01T14:30:29Z,75,50,431.72,0.07,0.88,499.0,0.87,28.0,430.67,433.56,...
2175,2018-04-01 15:53:00,65,53,65,S,9,0,29.03,0.0,Fair,2018-04-01T15:29:08Z,75,50,431.88,0.08,0.88,1017.0,0.87,56.0,430.65,434.38,...
2176,2018-04-01 16:53:00,63,53,70,S,8,0,29.03,0.0,Cloudy,2018-04-01T16:29:30Z,75,50,431.0,0.08,0.68,1022.0,0.62,56.0,430.25,433.34,...
2177,2018-04-01 17:53:00,61,53,75,SSE,7,0,29.03,0.0,Mostly Cloudy,2018-04-01T17:29:30Z,75,50,429.85,0.08,0.94,1024.0,0.91,56.0,427.89,431.57,...
2178,2018-04-01 18:53:00,59,53,81,S,7,0,29.04,0.0,Mostly Cloudy,2018-04-01T18:29:30Z,75,50,428.42,0.08,0.83,1024.0,0.79,56.0,426.96,429.84,...
