,Time,Temp (F),Dew Point (F),Humidity (%),Wind,Wind Speed (mph),Wind Gust (mph),Pressure (in),Precip (in),Condition,average_measurement_time,elevation_m,intake_height_m,co2_ppm,co2_uncertainty,co2_SD_raw,co2_n_raw,co2_SD_minutes,co2_n_minutes,co2_min,co2_max,co2_flags
5088,2018-08-01 00:53:00,74,62,66,SSE,5,0,29.12,0.0,Fair,2018-08-01T00:29:30Z,75,50,416.38,0.06,1.28,768.0,1.19,56.0,414.59,421.55,...
5089,2018-08-01 01:53:00,74,62,66,CALM,0,0,29.11,0.0,Fair,2018-08-01T01:29:30Z,75,50,420.23,0.06,2.12,773.0,2.1,56.0,417.11,424.51,...
5090,2018-08-01 02:53:00,74,63,68,CALM,0,0,29.1,0.0,Fair,2018-08-01T02:29:30Z,75,50,419.3,0.06,1.65,781.0,1.64,56.0,416.06,423.17,...
5091,2018-08-01 03:53:00,74,60,62,CALM,0,0,29.1,0.0,Fair,2018-08-01T03:29:30Z,75,50,418.2,0.06,1.42,789.0,1.39,56.0,415.14,420.32,...
5092,2018-08-01 04:53:00,73,54,51,CALM,0,0,29.11,0.0,Fair,2018-08-01T04:29:30Z,75,50,419.33,0.06,1.03,799.0,1.02,56.0,417.36,421.03,...
5093,2018-08-01 05:53:00,75,55,50,CALM,0,0,29.12,0.0,Fair,2018-08-01T05:29:30Z,75,50,418.8,0.06,1.84,800.0,1.79,56.0,415.13,421.46,...
5094,2018-08-01 06:53:00,76,58,54,CALM,0,0,29.13,0.0,Fair,2018-08-01T06:24:30Z,75,50,421.42,0.06,2.97,678.0,2.28,47.0,419.06,430.78,...
5095,2018-08-01 07:53:00,79,57,47,CALM,0,0,29.13,0.0,Fair,2018-08-01T07:34:30Z,75,50,420.21,0.06,1.07,539.0,1.06,37.0,418.53,421.93,...
5096,2018-08-01 08:53:00,84,52,33,CALM,0,0,29.13,0.0,Fair,2018-08-01T08:29:30Z,75,50,422.79,0.07,1.49,815.0,1.43,56.0,421.04,426.25,...
5097,2018-08-01 09:53:00,86,57,37,SSE,6,0,29.13,0.0,Fair,2018-08-01T09:29:30Z,75,50,425.24,0.07,2.09,816.0,2.05,56.0,421.0,428.2,...
5098,2018-08-01 10:53:00,88,58,36,SSE,8,0,29.12,0.0,Fair,2018-08-01T10:34:30Z,75,50,428.68,0.07,1.27,423.0,1.18,29.0,426.16,431.2,...
5099,2018-08-01 11:53:00,91,57,32,SSW,7,0,29.1,0.0,Fair,2018-08-01T11:29:30Z,75,50,430.32,0.08,1.67,803.0,1.51,55.0,424.74,432.63,...
5100,2018-08-01 12:53:00,94,54,26,SSE,8,0,29.08,0.0,Fair,2018-08-01T12:29:45Z,75,50,426.04,0.07,4.08,773.0,3.18,54.0,419.69,435.93,...
5101,2018-08-01 13:53:00,94,56,28,SSE,13,0,29.06,0.0,Fair,2018-08-01T13:29:31Z,75,50,422.66,0.07,3.02,780.0,2.75,55.0,418.0,429.81,...
5102,2018-08-01 14:53:00,93,56,29,SSE,10,0,29.05,0.0,Fair,2018-08-01T14:29:03Z,75,50,430.08,0.08,2.95,780.0,3.0,56.0,425.16,435.68,...
5103,2018-08-01 15:53:00,92,55,29,S,8,0,29.03,0.0,Fair,2018-08-01T15:29:03Z,75,50,431.3,0.08,1.92,779.0,1.86,56.0,428.52,437.39,...
5104,2018-08-01 16:53:00,91,56,30,S,8,0,29.03,0.0,Fair,2018-08-01T16:38:43Z,75,50,433.32,0.07,1.32,387.0,1.29,28.0,430.75,438.77,...
5105,2018-08-01 17:53:00,85,57,38,S,8,0,29.03,0.0,Fair,2018-08-01T17:29:05Z,75,50,437.42,0.09,4.59,791.0,3.73,56.0,429.65,453.5,...
5106,2018-08-01 18:53:00,83,58,42,SE,8,0,29.04,0.0,Fair,2018-08-01T18:29:30Z,75,50,427.83,0.08,2.28,795.0,2.09,56.0,425.36,440.98,...
5107,2018-08-01 19:53:00,79,58,48,ESE,6,0,29.06,0.0,Fair,2018-08-01T19:29:30Z,75,50,431.02,0.08,3.55,793.0,3.15,56.0,426.87,439.83,...
5108,2018-08-01 20:53:00,77,61,58,ESE,8,0,29.08,0.0,Fair,2018-08-01T20:29:30Z,75,50,443.24,0.11,7.11,788.0,6.79,56.0,432.96,458.68,...
5109,2018-08-01 21:53:00,74,64,71,ESE,10,0,29.1,0.0,Fair,2018-08-01T21:29:30Z,75,50,442.92,0.11,4.0,790.0,3.77,56.0,435.32,453.35,...
5110,2018-08-01 22:53:00,72,64,76,ESE,8,0,29.11,0.0,Fair,2018-08-01T22:29:30Z,75,50,430.25,0.08,6.41,794.0,6.27,56.0,424.84,457.8,...
