,Time,Temp (F),Dew Point (F),Humidity (%),Wind,Wind Speed (mph),Wind Gust (mph),Pressure (in),Precip (in),Condition,average_measurement_time,elevation_m,intake_height_m,co2_ppm,co2_uncertainty,co2_SD_raw,co2_n_raw,co2_SD_minutes,co2_n_minutes,co2_min,co2_max,co2_flags
8016,2018-12-01 00:53:00,55,38,53,NNW,10,0,29.14,0.0,Fair,2018-12-01T00:29:30Z,75,50,430.11,0.07,3.46,966.0,3.29,56.0,424.44,439.72,...
8017,2018-12-01 01:53:00,55,38,53,NNW,10,0,29.14,0.0,Fair,2018-12-01T01:29:30Z,75,50,438.09,0.08,4.86,966.0,4.37,56.0,431.54,454.22,...
8018,2018-12-01 02:53:00,55,38,53,NNE,7,0,29.14,0.0,Fair,2018-12-01T02:38:00Z,75,50,439.99,0.07,2.48,483.0,2.4,28.0,434.76,445.77,...
8019,2018-12-01 03:53:00,50,39,66,CALM,0,0,29.13,0.0,Fair,2018-12-01T03:29:30Z,75,50,457.85,0.12,13.08,946.0,13.14,55.0,439.77,480.24,...
8020,2018-12-01 04:53:00,48,39,71,N,3,0,29.14,0.0,Fair,2018-12-01T04:29:40Z,75,50,456.36,0.11,4.59,915.0,4.19,55.0,449.32,469.06,...
8021,2018-12-01 05:53:00,47,39,74,CALM,0,0,29.14,0.0,Fair,2018-12-01T05:29:33Z,75,50,463.56,0.13,9.96,926.0,9.4,56.0,447.21,490.48,...
8022,2018-12-01 06:53:00,47,39,74,NW,5,0,29.16,0.0,Fair,2018-12-01T06:29:33Z,75,50,478.95,0.16,18.27,927.0,18.03,56.0,449.03,524.75,...
8023,2018-12-01 07:53:00,47,39,74,CALM,0,0,29.17,0.0,Fair,2018-12-01T07:26:18Z,75,50,459.93,0.12,7.58,852.0,7.14,51.0,435.65,475.69,...
8024,2018-12-01 08:53:00,52,39,61,CALM,0,0,29.17,0.0,Fair,2018-12-01T08:36:25Z,75,50,445.6,0.08,6.14,551.0,5.7,33.0,434.86,452.84,...
8025,2018-12-01 09:53:00,55,40,57,CALM,0,0,29.18,0.0,Fair,2018-12-01T09:29:52Z,75,50,449.02,0.1,6.17,947.0,6.05,56.0,437.56,458.37,...
8026,2018-12-01 10:53:00,57,38,49,NNE,5,0,29.18,0.0,Fair,2018-12-01T10:29:52Z,75,50,458.9,0.12,2.56,949.0,2.44,56.0,455.49,464.06,...
8027,2018-12-01 11:53:00,60,35,39,CALM,0,0,29.15,0.0,Fair,2018-12-01T11:29:30Z,75,50,458.48,0.12,5.49,957.0,5.18,56.0,445.29,464.9,...
8028,2018-12-01 12:53:00,62,32,32,W,8,0,29.12,0.0,Fair,2018-12-01T12:29:30Z,75,50,459.49,0.12,3.56,960.0,3.14,56.0,454.09,467.06,...
8029,2018-12-01 13:53:00,63,34,34,WSW,7,0,29.09,0.0,Fair,2018-12-01T13:29:30Z,75,50,466.18,0.14,4.21,960.0,4.12,56.0,460.94,476.11,...
8030,2018-12-01 14:53:00,63,42,46,SSW,9,0,29.07,0.0,Fair,2018-12-01T14:29:30Z,75,50,469.0,0.15,5.27,964.0,4.88,56.0,460.84,478.31,...
8031,2018-12-01 15:53:00,61,41,48,SSW,12,0,29.07,0.0,Fair,2018-12-01T15:29:30Z,75,50,467.8,0.14,8.02,967.0,7.84,56.0,452.31,483.6,...
8032,2018-12-01 16:53:00,61,39,44,S,7,0,29.06,0.0,Fair,2018-12-01T16:21:30Z,75,50,474.93,0.16,3.67,726.0,3.42,42.0,465.85,482.44,...
8033,2018-12-01 17:53:00,59,41,51,W,9,0,29.06,0.0,Partly Cloudy,2018-12-01T17:31:30Z,75,50,454.75,0.1,4.4,747.0,4.37,43.0,443.39,462.34,...
