,Time,Temp (F),Dew Point (F),Humidity (%),Wind,Wind Speed (mph),Wind Gust (mph),Pressure (in),Precip (in),Condition,average_measurement_time,elevation_m,intake_height_m,co2_ppm,co2_uncertainty,co2_SD_raw,co2_n_raw,co2_SD_minutes,co2_n_minutes,co2_min,co2_max,co2_flags
744,2018-02-01 00:53:00,55,36,49,CALM,0,0,29.15,0.0,Fair,2018-02-01T00:29:30Z,75,50,436.33,0.09,3.81,1058.0,3.42,56.0,430.66,444.32,...
745,2018-02-01 01:53:00,53,36,52,CALM,0,0,29.16,0.0,Fair,2018-02-01T01:29:30Z,75,50,443.09,0.11,7.11,1063.0,7.0,56.0,432.5,455.7,...
746,2018-02-01 02:53:00,54,36,51,CALM,0,0,29.15,0.0,Fair,2018-02-01T02:29:30Z,75,50,457.18,0.14,7.01,1066.0,6.52,56.0,446.36,475.86,...
747,2018-02-01 03:53:00,51,36,56,CALM,0,0,29.14,0.0,Fair,2018-02-01T03:29:30Z,75,50,489.09,0.21,26.88,1068.0,26.55,56.0,460.61,548.55,...
748,2018-02-01 04:53:00,51,36,56,CALM,0,0,29.14,0.0,Fair,2018-02-01T04:29:30Z,75,50,498.11,0.23,13.93,1072.0,13.53,56.0,476.16,540.93,...
749,2018-02-01 05:53:00,52,32,47,CALM,0,0,29.14,0.0,Fair,2018-02-01T05:24:23Z,75,50,494.81,0.18,11.13,537.0,10.28,28.0,480.2,512.52,...
750,2018-02-01 06:53:00,50,36,59,CALM,0,0,29.15,0.0,Fair,2018-02-01T06:29:30Z,75,50,457.21,0.14,9.17,1077.0,9.06,56.0,439.2,475.33,...
751,2018-02-01 07:53:00,55,34,45,CALM,0,0,29.17,0.0,Fair,2018-02-01T07:29:30Z,75,50,450.46,0.12,9.6,1075.0,9.52,56.0,436.74,468.56,...
752,2018-02-01 08:53:00,63,35,35,CALM,0,0,29.18,0.0,Fair,2018-02-01T08:24:30Z,75,50,454.85,0.13,6.71,904.0,6.39,47.0,446.06,470.47,...
753,2018-02-01 09:53:00,70,34,27,SSW,3,0,29.2,0.0,Fair,2018-02-01T09:34:30Z,75,50,468.37,0.14,2.66,712.0,2.57,37.0,464.47,472.96,...
754,2018-02-01 10:53:00,75,36,24,CALM,0,0,29.2,0.0,Fair,2018-02-01T10:29:55Z,75,50,468.91,0.16,3.91,1086.0,3.86,57.0,462.24,475.06,...
755,2018-02-01 11:53:00,79,32,18,CALM,0,0,29.19,0.0,Fair,2018-02-01T11:30:00Z,75,50,476.58,0.18,2.56,1077.0,2.48,58.0,471.66,480.22,...
756,2018-02-01 12:53:00,80,33,18,CALM,0,0,29.16,0.0,Fair,2018-02-01T12:29:41Z,75,50,477.61,0.17,4.53,1027.0,4.44,56.0,469.85,487.21,...
