,Time,Temp (F),Dew Point (F),Humidity (%),Wind,Wind Speed (mph),Wind Gust (mph),Pressure (in),Precip (in),Condition,average_measurement_time,elevation_m,intake_height_m,co2_ppm,co2_uncertainty,co2_SD_raw,co2_n_raw,co2_SD_minutes,co2_n_minutes,co2_min,co2_max,co2_flags
0,2018-01-01 00:53:00,49,38,66,WSW,6,0,29.29,0.0,Fair,2018-01-01T00:30:09Z,75,50,444.95,0.11,5.66,1012.0,5.57,55.0,437.38,460.7,...
1,2018-01-01 01:53:00,49,39,69,CALM,0,0,29.3,0.0,Fair,2018-01-01T01:19:53Z,75,50,462.94,0.15,2.35,719.0,2.38,39.0,458.1,466.0,...
2,2018-01-01 02:53:00,48,38,68,CALM,0,0,29.3,0.0,Haze,2018-01-01T02:29:31Z,75,50,444.76,0.1,3.35,857.0,3.35,46.0,439.73,451.64,...
3,2018-01-01 03:53:00,48,39,71,CALM,0,0,29.3,0.0,Partly Cloudy,2018-01-01T03:29:03Z,75,50,448.51,0.11,9.55,1045.0,9.44,56.0,440.55,474.78,...
4,2018-01-01 04:53:00,46,38,73,CALM,0,0,29.3,0.0,Fair,2018-01-01T04:29:03Z,75,50,487.85,0.2,7.87,1047.0,7.7,56.0,467.61,504.79,...
5,2018-01-01 05:53:00,46,37,71,CALM,0,0,29.3,0.0,Fair,2018-01-01T05:29:03Z,75,50,492.06,0.21,8.61,1050.0,8.57,56.0,474.68,510.44,...
6,2018-01-01 06:53:00,45,36,71,CALM,0,0,29.3,0.0,Partly Cloudy,2018-01-01T06:29:01Z,75,50,479.03,0.18,7.61,1055.0,7.39,56.0,463.84,493.85,...
7,2018-01-01 07:53:00,47,39,74,CALM,0,0,29.31,0.0,Fair,2018-01-01T07:29:30Z,75,50,475.3,0.18,9.61,1057.0,9.63,56.0,453.55,494.1,...
8,2018-01-01 08:53:00,54,40,59,CALM,0,0,29.33,0.0,Fair,2018-01-01T08:29:30Z,75,50,478.01,0.18,6.92,1058.0,6.53,56.0,466.28,491.98,...
9,2018-01-01 09:53:00,61,36,39,CALM,0,0,29.35,0.0,Fair,2018-01-01T09:29:30Z,75,50,465.99,0.16,5.2,1067.0,4.79,56.0,456.95,476.87,...
10,2018-01-01 10:53:00,66,36,33,CALM,0,0,29.34,0.0,Fair,2018-01-01T10:24:00Z,75,50,469.29,0.14,7.75,553.0,7.59,29.0,459.95,491.21,...
