,Time,Temp (F),Dew Point (F),Humidity (%),Wind,Wind Speed (mph),Wind Gust (mph),Pressure (in),Precip (in),Condition,average_measurement_time,elevation_m,intake_height_m,co2_ppm,co2_uncertainty,co2_SD_raw,co2_n_raw,co2_SD_minutes,co2_n_minutes,co2_min,co2_max,co2_flags
4344,2018-07-01 00:53:00,63,61,93,SE,8,0,29.13,0.0,Fair,2018-07-01T00:29:34Z,75,50,413.47,0.05,3.1,870.0,2.67,55.0,411.76,423.24,...
4345,2018-07-01 01:53:00,63,61,93,SSE,6,0,29.12,0.0,Cloudy,2018-07-01T01:29:07Z,75,50,413.74,0.05,3.31,878.0,3.0,56.0,411.58,423.01,...
4346,2018-07-01 02:53:00,63,61,93,SE,5,0,29.13,0.0,Cloudy,2018-07-01T02:29:07Z,75,50,413.99,0.05,2.59,883.0,2.17,56.0,412.5,425.2,...
4347,2018-07-01 03:53:00,63,61,93,SSW,6,0,29.14,0.0,Cloudy,2018-07-01T03:38:19Z,75,50,414.63,0.05,0.51,438.0,0.47,28.0,413.55,415.68,...
4348,2018-07-01 04:53:00,63,60,90,SE,3,0,29.16,0.0,Cloudy,2018-07-01T04:29:26Z,75,50,417.04,0.06,1.42,893.0,1.42,56.0,414.52,419.25,...
4349,2018-07-01 05:53:00,63,60,90,CALM,0,0,29.17,0.0,Cloudy,2018-07-01T05:29:26Z,75,50,419.56,0.06,0.68,897.0,0.64,56.0,418.5,420.84,...
4350,2018-07-01 06:53:00,64,59,84,VAR,3,0,29.18,0.0,Cloudy,2018-07-01T06:29:06Z,75,50,418.6,0.06,1.16,902.0,1.15,56.0,416.19,420.19,...
4351,2018-07-01 07:53:00,66,59,78,CALM,0,0,29.19,0.0,Fair,2018-07-01T07:29:30Z,75,50,417.18,0.06,0.61,908.0,0.55,56.0,416.03,418.42,...
4352,2018-07-01 08:53:00,69,59,70,W,5,0,29.19,0.0,Fair,2018-07-01T08:29:30Z,75,50,415.72,0.05,1.14,915.0,1.12,56.0,414.12,417.68,...
4353,2018-07-01 09:53:00,73,59,61,NNE,3,0,29.19,0.0,Fair,2018-07-01T09:29:30Z,75,50,415.51,0.05,0.58,918.0,0.55,56.0,414.26,416.54,...
4354,2018-07-01 10:53:00,77,59,54,CALM,0,0,29.18,0.0,Fair,2018-07-01T10:29:30Z,75,50,417.43,0.06,0.91,921.0,0.9,56.0,415.17,418.86,...
4355,2018-07-01 11:53:00,80,58,47,VAR,7,0,29.17,0.0,Fair,2018-07-01T11:25:30Z,75,50,418.62,0.06,0.67,810.0,0.65,49.0,417.39,419.64,...
4356,2018-07-01 12:53:00,81,58,45,S,8,0,29.16,0.0,Fair,2018-07-01T12:35:30Z,75,50,418.42,0.06,0.37,582.0,0.34,35.0,417.92,419.31,...
4357,2018-07-01 13:53:00,82,57,42,SSE,9,0,29.14,0.0,Fair,2018-07-01T13:29:30Z,75,50,419.12,0.06,0.35,927.0,0.33,56.0,418.46,419.86,...
4358,2018-07-01 14:53:00,80,55,42,S,13,0,29.13,0.0,Fair,2018-07-01T14:29:30Z,75,50,418.96,0.06,0.18,928.0,0.17,56.0,418.69,419.28,...
4359,2018-07-01 15:53:00,79,57,47,S,13,0,29.12,0.0,Fair,2018-07-01T15:33:49Z,75,50,419.98,0.06,0.84,453.0,0.72,28.0,418.86,421.67,...
4360,2018-07-01 16:53:00,78,54,43,S,12,0,29.12,0.0,Fair,2018-07-01T16:29:37Z,75,50,421.64,0.06,3.04,879.0,2.63,55.0,419.95,433.27,...
4361,2018-07-01 17:53:00,76,58,54,S,9,0,29.12,0.0,Fair,2018-07-01T17:29:11Z,75,50,421.96,0.06,2.18,881.0,2.03,56.0,420.19,431.11,...
4362,2018-07-01 18:53:00,72,58,61,S,8,0,29.13,0.0,Fair,2018-07-01T18:29:11Z,75,50,421.07,0.06,2.2,885.0,2.03,56.0,418.74,428.06,...
4363,2018-07-01 19:53:00,69,59,70,S,6,0,29.14,0.0,Fair,2018-07-01T19:29:11Z,75,50,416.91,0.06,2.43,884.0,2.32,56.0,413.69,423.81,...
4364,2018-07-01 20:53:00,69,60,73,ESE,7,0,29.15,0.0,Fair,2018-07-01T20:29:11Z,75,50,414.73,0.05,2.2,888.0,1.83,56.0,413.27,420.9,...
4365,2018-07-01 21:53:00,65,61,87,S,6,0,29.16,0.0,Fair,2018-07-01T21:37:55Z,75,50,414.26,0.05,3.38,439.0,3.13,28.0,411.75,424.92,...
4366,2018-07-01 22:53:00,64,61,90,S,6,0,29.15,0.0,Fair,2018-07-01T22:29:30Z,75,50,414.06,0.05,3.81,896.0,3.37,56.0,411.69,425.59,...
4367,2018-07-01 23:53:00,63,61,93,S,6,0,29.15,0.0,Fair,2018-07-01T23:29:30Z,75,50,413.63,0.05,1.38,896.0,1.16,56.0,411.73,417.28,...
4368,2018-07-02 00:53:00,63,61,93,SSE,6,0,29.14,0.0,Partly Cloudy,2018-07-02T00:29:30Z,75,50,417.47,0.06,2.77,900.0,2.41,56.0,414.78,429.15,...
