,Time,Temp (F),Dew Point (F),Humidity (%),Wind,Wind Speed (mph),Wind Gust (mph),Pressure (in),Precip (in),Condition,average_measurement_time,elevation_m,intake_height_m,co2_ppm,co2_uncertainty,co2_SD_raw,co2_n_raw,co2_SD_minutes,co2_n_minutes,co2_min,co2_max,co2_flags
1416,2018-03-01 00:53:00,48,42,80,SE,5,0,29.37,0.0,Fair,2018-03-01T00:38:19Z,75,50,421.17,0.06,3.19,520.0,2.91,28.0,417.82,428.82,...
1417,2018-03-01 01:53:00,47,41,80,CALM,0,0,29.36,0.0,Fair,2018-03-01T01:28:59Z,75,50,422.73,0.07,4.19,1061.0,3.91,56.0,418.71,439.0,...
1418,2018-03-01 02:53:00,45,41,86,CALM,0,0,29.34,0.0,Partly Cloudy,2018-03-01T02:29:30Z,75,50,432.13,0.08,3.73,1065.0,3.38,56.0,424.89,439.26,...
1419,2018-03-01 03:53:00,45,41,86,CALM,0,0,29.33,0.0,Partly Cloudy,2018-03-01T03:29:30Z,75,50,432.32,0.08,3.04,1070.0,2.83,56.0,426.61,439.72,...
1420,2018-03-01 04:53:00,44,40,85,WSW,3,0,29.33,0.0,Partly Cloudy,2018-03-01T04:29:30Z,75,50,428.93,0.08,2.63,1073.0,2.33,56.0,423.28,433.43,...
1421,2018-03-01 05:53:00,44,40,85,CALM,0,0,29.34,0.0,Partly Cloudy,2018-03-01T05:29:30Z,75,50,440.35,0.1,9.58,1075.0,9.56,56.0,428.21,459.59,...
1422,2018-03-01 06:53:00,44,40,85,WSW,3,0,29.35,0.0,Mostly Cloudy,2018-03-01T06:29:30Z,75,50,451.49,0.13,8.88,1080.0,8.61,56.0,440.97,466.89,...
1423,2018-03-01 07:53:00,47,41,80,WSW,3,0,29.36,0.0,Fair,2018-03-01T07:29:30Z,75,50,455.82,0.13,5.46,1083.0,4.95,56.0,437.74,464.82,...
1424,2018-03-01 08:53:00,51,43,74,SSW,3,0,29.36,0.0,Fair,2018-03-01T08:25:30Z,75,50,449.52,0.12,6.01,948.0,5.78,49.0,434.27,460.94,...
1425,2018-03-01 09:53:00,54,40,59,CALM,0,0,29.35,0.0,Fair,2018-03-01T09:36:00Z,75,50,444.45,0.1,3.95,657.0,3.66,34.0,436.55,451.54,...
1426,2018-03-01 10:53:00,56,38,51,SE,8,0,29.34,0.0,Fair,2018-03-01T10:29:30Z,75,50,433.73,0.09,7.76,1083.0,7.6,56.0,421.67,447.32,...
1427,2018-03-01 11:53:00,58,38,47,SW,5,0,29.33,0.0,Partly Cloudy,2018-03-01T11:29:30Z,75,50,438.48,0.1,6.47,1083.0,6.24,56.0,425.24,445.02,...
1428,2018-03-01 12:53:00,58,39,49,SW,6,0,29.31,0.0,Cloudy,2018-03-01T12:33:00Z,75,50,449.62,0.1,4.87,561.0,4.65,29.0,436.41,457.22,...
1429,2018-03-01 13:53:00,60,41,49,SSE,3,0,29.29,0.0,Mostly Cloudy,2018-03-01T13:29:30Z,75,50,458.14,0.14,5.4,1082.0,4.85,56.0,451.01,469.69,...
1430,2018-03-01 14:53:00,59,42,53,SSE,6,0,29.27,0.0,Partly Cloudy,2018-03-01T14:29:48Z,75,50,463.41,0.15,5.03,1088.0,4.36,57.0,453.45,470.71,...
1431,2018-03-01 15:53:00,60,43,53,S,10,0,29.25,0.0,Fair,2018-03-01T15:29:15Z,75,50,469.89,0.16,7.37,1069.0,6.25,58.0,454.94,480.41,...
1432,2018-03-01 16:53:00,58,43,58,S,12,0,29.25,0.0,Partly Cloudy,2018-03-01T16:29:15Z,75,50,447.29,0.11,15.58,1034.0,15.68,56.0,423.22,477.1,...
1433,2018-03-01 17:53:00,55,41,59,S,9,0,29.27,0.0,Cloudy,2018-03-01T17:29:15Z,75,50,423.28,0.07,2.28,1040.0,1.95,56.0,418.2,427.71,...
1434,2018-03-01 18:53:00,54,40,59,SE,6,0,29.28,0.0,Mostly Cloudy,2018-03-01T18:37:32Z,75,50,425.0,0.06,2.01,509.0,1.9,28.0,422.88,430.63,...
1435,2018-03-01 19:53:00,54,39,57,S,3,0,29.29,0.0,Partly Cloudy,2018-03-01T19:29:33Z,75,50,423.49,0.07,1.91,1043.0,1.4,56.0,421.29,430.88,...
1436,2018-03-01 20:53:00,53,42,66,S,7,0,29.28,0.0,Cloudy,2018-03-01T20:29:33Z,75,50,425.61,0.07,3.25,1043.0,2.64,56.0,422.2,436.17,...
1437,2018-03-01 21:53:00,52,47,83,S,6,0,29.29,0.0,Cloudy,2018-03-01T21:29:33Z,75,50,423.81,0.07,3.22,1045.0,2.81,56.0,420.17,433.64,...
1438,2018-03-01 22:53:00,52,47,83,SE,7,0,29.28,0.0,Cloudy,2018-03-01T22:29:33Z,75,50,425.68,0.07,3.82,1049.0,3.08,56.0,421.28,435.23,...
1439,2018-03-01 23:53:00,53,48,83,SE,8,0,29.27,0.0,Cloudy,2018-03-01T23:29:33Z,75,50,428.02,0.07,4.85,1052.0,3.81,56.0,423.02,443.51,...
1440,2018-03-02 00:53:00,51,50,96,SE,10,0,29.27,0.0,Cloudy,2018-03-02T00:29:02Z,75,50,422.54,0.07,3.88,1057.0,3.35,56.0,418.64,434.7,...
1441,2018-03-02 01:53:00,50,50,100,SE,9,0,29.25,0.0,Light Rain,2018-03-02T01:29:30Z,75,50,423.51,0.07,3.48,1063.0,3.27,56.0,418.9,434.37,...
1442,2018-03-02 02:53:00,49,49,100,SE,9,0,29.24,0.0,Light Rain,2018-03-02T02:26:30Z,75,50,434.28,0.09,2.12,968.0,1.89,51.0,430.56,437.32,...
1443,2018-03-02 03:53:00,49,49,100,ESE,13,0,29.23,0.0,Light Rain,2018-03-02T03:36:30Z,75,50,431.55,0.07,1.58,636.0,1.31,33.0,427.92,434.24,...
1444,2018-03-02 04:53:00,50,49,96,SE,13,0,29.22,0.0,Light Rain,2018-03-02T04:29:30Z,75,50,429.98,0.08,2.93,1080.0,2.44,56.0,423.27,434.05,...
1445,2018-03-02 05:53:00,49,49,100,SSE,7,0,29.24,0.0,Rain,2018-03-02T05:29:30Z,75,50,435.47,0.09,8.17,1079.0,8.04,56.0,425.34,457.11,...
1446,2018-03-02 06:53:00,49,49,100,ESE,10,0,29.24,0.0,Light Rain,2018-03-02T06:32:30Z,75,50,472.4,0.14,8.33,558.0,7.93,29.0,456.6,486.91,...
1447,2018-03-02 07:53:00,50,50,100,ESE,12,0,29.25,0.0,Light Rain,2018-03-02T07:29:49Z,75,50,470.2,0.17,12.1,1084.0,12.11,57.0,450.3,497.56,...
1448,2018-03-02 08:53:00,51,51,100,ESE,10,21,29.26,0.0,Light Rain,2018-03-02T08:29:18Z,75,50,453.42,0.13,8.39,1065.0,8.44,58.0,430.91,464.15,...
1449,2018-03-02 09:53:00,51,51,100,ESE,14,0,29.26,0.0,Light Rain,2018-03-02T09:29:18Z,75,50,451.69,0.12,2.69,1032.0,2.71,56.0,444.98,459.44,...
1450,2018-03-02 10:53:00,53,53,100,ESE,14,23,29.25,0.0,Light Rain,2018-03-02T10:29:18Z,75,50,450.37,0.12,4.56,1035.0,4.45,56.0,444.26,459.04,...
1451,2018-03-02 11:53:00,53,53,100,ESE,13,0,29.24,0.0,Light Rain,2018-03-02T11:29:18Z,75,50,448.25,0.11,1.62,1037.0,1.47,56.0,444.03,451.12,...
1452,2018-03-02 12:53:00,53,53,100,SE,13,0,29.21,0.0,Light Rain,2018-03-02T12:37:08Z,75,50,448.71,0.1,2.43,512.0,1.87,28.0,445.65,452.15,...
1453,2018-03-02 13:53:00,53,53,100,SE,10,0,29.2,0.0,Light Rain,2018-03-02T13:29:37Z,75,50,445.92,0.11,5.51,1046.0,5.32,56.0,436.01,453.94,...
1454,2018-03-02 14:53:00,54,54,100,ESE,13,0,29.19,0.0,Light Rain,2018-03-02T14:29:37Z,75,50,445.1,0.11,4.08,1051.0,3.64,56.0,436.66,452.31,...
1455,2018-03-02 15:53:00,54,54,100,SE,9,0,29.18,0.1,Light Rain,2018-03-02T15:29:37Z,75,50,445.07,0.11,4.36,1053.0,3.86,56.0,436.43,454.04,...
1456,2018-03-02 16:53:00,55,55,100,SSE,7,0,29.18,0.1,Light Rain,2018-03-02T16:29:37Z,75,50,440.28,0.1,2.35,1055.0,2.03,56.0,435.8,445.29,...
1457,2018-03-02 17:53:00,53,52,96,NNE,3,0,29.19,0.0,Cloudy,2018-03-02T17:29:30Z,75,50,437.75,0.1,3.4,1060.0,3.18,56.0,429.96,444.76,...
1458,2018-03-02 18:53:00,53,52,96,E,3,0,29.18,0.0,Cloudy,2018-03-02T18:29:30Z,75,50,428.85,0.08,2.89,1062.0,2.33,56.0,425.23,435.86,...
