,Time,Temp (F),Dew Point (F),Humidity (%),Wind,Wind Speed (mph),Wind Gust (mph),Pressure (in),Precip (in),Condition,average_measurement_time,elevation_m,intake_height_m,co2_ppm,co2_uncertainty,co2_SD_raw,co2_n_raw,co2_SD_minutes,co2_n_minutes,co2_min,co2_max,co2_flags
2880,2018-05-01 00:53:00,54,48,80,ESE,5,0,29.04,0.0,Mostly Cloudy,2018-05-01T00:28:55Z,75,50,417.9,0.06,1.48,992.0,1.32,56.0,415.4,422.07,...
2881,2018-05-01 01:53:00,54,47,77,S,5,0,29.03,0.0,Cloudy,2018-05-01T01:29:30Z,75,50,420.5,0.06,1.94,997.0,1.61,56.0,417.97,425.59,...
2882,2018-05-01 02:53:00,54,47,77,S,5,0,29.02,0.0,Cloudy,2018-05-01T02:29:30Z,75,50,418.67,0.06,1.17,1004.0,1.06,56.0,416.69,421.23,...
2883,2018-05-01 03:53:00,54,47,77,CALM,0,0,29.01,0.0,Mostly Cloudy,2018-05-01T03:29:30Z,75,50,421.47,0.06,3.63,1007.0,3.47,56.0,417.07,429.47,...
2884,2018-05-01 04:53:00,54,47,77,S,3,0,29.02,0.0,Mostly Cloudy,2018-05-01T04:29:30Z,75,50,428.05,0.08,2.82,1014.0,2.6,56.0,424.48,437.55,...
2885,2018-05-01 05:53:00,54,47,77,SSE,6,0,29.02,0.0,Cloudy,2018-05-01T05:29:30Z,75,50,425.13,0.07,1.09,1017.0,0.89,56.0,423.47,428.4,...
2886,2018-05-01 06:53:00,54,49,83,SSE,8,0,29.03,0.0,Cloudy,2018-05-01T06:37:18Z,75,50,430.97,0.07,3.73,490.0,3.61,27.0,424.28,439.24,...
2887,2018-05-01 07:53:00,52,51,97,ESE,12,0,29.04,0.0,Light Rain,2018-05-01T07:29:30Z,75,50,420.67,0.06,3.43,1017.0,3.32,56.0,416.61,432.4,...
2888,2018-05-01 08:53:00,54,49,83,ESE,12,0,29.05,0.0,Cloudy,2018-05-01T08:29:30Z,75,50,421.19,0.06,1.91,1016.0,1.85,56.0,418.69,424.55,...
2889,2018-05-01 09:53:00,56,47,72,E,14,25,29.07,0.0,Cloudy,2018-05-01T09:26:30Z,75,50,420.65,0.06,1.15,527.0,1.15,29.0,419.08,423.38,...
2890,2018-05-01 10:53:00,53,47,80,SSE,16,0,29.09,0.0,Cloudy,2018-05-01T10:29:30Z,75,50,422.96,0.07,1.08,1018.0,0.9,56.0,421.26,424.58,...
2891,2018-05-01 11:53:00,54,47,77,SE,12,0,29.08,0.0,Cloudy,2018-05-01T11:29:46Z,75,50,420.62,0.06,3.03,1024.0,3.01,57.0,416.67,425.35,...
2892,2018-05-01 12:53:00,56,46,69,SE,13,0,29.07,0.0,Cloudy,2018-05-01T12:29:34Z,75,50,419.28,0.06,2.63,986.0,2.58,56.0,416.19,424.87,...
2893,2018-05-01 13:53:00,57,44,62,S,12,0,29.06,0.0,Cloudy,2018-05-01T13:29:07Z,75,50,423.89,0.07,4.19,983.0,3.56,56.0,417.66,431.95,...
2894,2018-05-01 14:53:00,57,43,59,SE,7,0,29.05,0.0,Cloudy,2018-05-01T14:29:07Z,75,50,425.21,0.07,3.48,982.0,3.16,56.0,418.34,433.49,...
2895,2018-05-01 15:53:00,58,43,58,SE,9,0,29.04,0.0,Cloudy,2018-05-01T15:30:53Z,75,50,422.94,0.06,2.32,485.0,2.35,28.0,420.3,430.98,...
2896,2018-05-01 16:53:00,57,45,64,E,8,0,29.05,0.0,Cloudy,2018-05-01T16:29:26Z,75,50,423.82,0.07,2.24,991.0,1.95,56.0,420.73,428.97,...
2897,2018-05-01 17:53:00,57,45,64,E,8,0,29.05,0.0,Cloudy,2018-05-01T17:29:26Z,75,50,420.4,0.06,3.87,995.0,3.71,56.0,416.5,428.4,...
2898,2018-05-01 18:53:00,57,45,64,ESE,8,0,29.06,0.0,Mostly Cloudy,2018-05-01T18:29:26Z,75,50,420.47,0.06,4.44,999.0,4.14,56.0,415.92,436.81,...
2899,2018-05-01 19:53:00,57,46,67,E,7,0,29.08,0.0,Cloudy,2018-05-01T19:29:05Z,75,50,419.85,0.06,3.61,1002.0,3.24,56.0,415.95,428.37,...
2900,2018-05-01 20:53:00,56,46,69,SE,9,0,29.09,0.0,Light Rain,2018-05-01T20:29:30Z,75,50,419.06,0.06,2.71,1006.0,2.42,56.0,416.51,426.93,...
2901,2018-05-01 21:53:00,55,48,77,SE,9,0,29.1,0.0,Cloudy,2018-05-01T21:29:30Z,75,50,419.97,0.06,4.17,1012.0,3.97,56.0,416.07,435.86,...
2902,2018-05-01 22:53:00,55,48,77,ESE,8,0,29.1,0.0,Cloudy,2018-05-01T22:29:30Z,75,50,419.99,0.06,3.97,1016.0,3.61,56.0,415.76,430.87,...
2903,2018-05-01 23:53:00,54,48,80,SE,8,0,29.09,0.0,Cloudy,2018-05-01T23:29:30Z,75,50,419.71,0.06,3.93,1020.0,3.59,56.0,415.91,428.99,...
2904,2018-05-02 00:53:00,53,48,83,SE,8,0,29.09,0.0,Cloudy,2018-05-02T00:36:00Z,75,50,421.08,0.06,3.55,513.0,3.31,28.0,415.79,428.59,...
2905,2018-05-02 01:53:00,53,49,86,SSE,3,0,29.08,0.0,Cloudy,2018-05-02T01:29:30Z,75,50,421.97,0.06,3.63,1028.0,3.31,56.0,416.9,428.61,...
2906,2018-05-02 02:53:00,53,49,86,CALM,0,0,29.08,0.0,Cloudy,2018-05-02T02:29:30Z,75,50,420.64,0.06,1.69,1028.0,1.33,56.0,418.45,424.79,...
2907,2018-05-02 03:53:00,53,49,86,SE,3,0,29.07,0.0,Cloudy,2018-05-02T03:26:00Z,75,50,421.32,0.06,3.19,532.0,3.03,29.0,416.78,429.25,...
2908,2018-05-02 04:53:00,52,49,89,S,6,0,29.09,0.0,Cloudy,2018-05-02T04:29:20Z,75,50,421.97,0.06,2.4,1004.0,2.21,56.0,418.69,426.68,...
2909,2018-05-02 05:53:00,53,50,89,CALM,0,0,29.12,0.0,Cloudy,2018-05-02T05:29:05Z,75,50,423.51,0.07,5.18,968.0,4.77,54.0,417.29,439.69,...
2910,2018-05-02 06:53:00,54,50,86,SSE,5,0,29.12,0.0,Cloudy,2018-05-02T06:29:11Z,75,50,420.21,0.06,3.11,982.0,2.95,56.0,416.36,430.9,...
2911,2018-05-02 07:53:00,56,48,75,VAR,5,0,29.15,0.0,Mostly Cloudy,2018-05-02T07:29:11Z,75,50,419.8,0.06,1.73,988.0,1.56,56.0,417.35,424.0,...
2912,2018-05-02 08:53:00,57,48,72,ESE,5,0,29.16,0.0,Cloudy,2018-05-02T08:29:11Z,75,50,418.44,0.06,1.16,992.0,1.13,56.0,416.97,421.81,...
2913,2018-05-02 09:53:00,58,48,70,ESE,10,0,29.17,0.0,Cloudy,2018-05-02T09:30:29Z,75,50,417.44,0.05,0.94,489.0,0.96,28.0,416.13,419.49,...
2914,2018-05-02 10:53:00,61,48,62,CALM,0,0,29.18,0.0,Cloudy,2018-05-02T10:29:30Z,75,50,418.31,0.06,1.37,1001.0,1.35,56.0,415.04,420.77,...
2915,2018-05-02 11:53:00,63,49,60,SE,12,16,29.17,0.0,Mostly Cloudy,2018-05-02T11:29:30Z,75,50,420.33,0.06,1.68,1005.0,1.52,56.0,417.7,424.36,...
2916,2018-05-02 12:53:00,63,48,58,S,10,0,29.18,0.0,Cloudy,2018-05-02T12:29:08Z,75,50,425.59,0.07,2.22,1007.0,1.91,56.0,421.25,429.79,...
2917,2018-05-02 13:53:00,61,49,64,S,12,0,29.19,0.0,Cloudy,2018-05-02T13:29:30Z,75,50,429.86,0.08,3.63,1010.0,3.41,56.0,424.14,438.56,...
2918,2018-05-02 14:53:00,59,49,69,SSE,7,0,29.2,0.0,Cloudy,2018-05-02T14:29:30Z,75,50,435.66,0.09,4.53,1013.0,4.19,56.0,423.03,440.99,...
2919,2018-05-02 15:53:00,59,50,72,SSE,5,0,29.21,0.0,Cloudy,2018-05-02T15:29:30Z,75,50,431.9,0.08,4.52,1019.0,4.23,56.0,423.91,440.1,...
