,Time,Temp (F),Dew Point (F),Humidity (%),Wind,Wind Speed (mph),Wind Gust (mph),Pressure (in),Precip (in),Condition,average_measurement_time,elevation_m,intake_height_m,co2_ppm,co2_uncertainty,co2_SD_raw,co2_n_raw,co2_SD_minutes,co2_n_minutes,co2_min,co2_max,co2_flags
7296,2018-11-01 00:53:00,59,32,36,CALM,0,0,29.2,0.0,Fair,2018-11-01T00:29:30Z,75,50,437.54,0.08,2.19,868.0,2.02,56.0,434.09,442.61,...
7297,2018-11-01 01:53:00,57,33,40,CALM,0,0,29.19,0.0,Fair,2018-11-01T01:36:00Z,75,50,433.68,0.06,6.98,438.0,6.69,28.0,424.45,447.75,...
7298,2018-11-01 02:53:00,56,30,37,NNW,3,0,29.19,0.0,Partly Cloudy,2018-11-01T02:29:30Z,75,50,439.4,0.08,10.3,874.0,9.78,56.0,427.6,466.71,...
7299,2018-11-01 03:53:00,56,32,40,W,3,0,29.2,0.0,Fair,2018-11-01T03:29:30Z,75,50,478.38,0.16,12.66,852.0,12.49,55.0,449.45,500.69,...
7300,2018-11-01 04:53:00,55,34,45,CALM,0,0,29.21,0.0,Fair,2018-11-01T04:30:08Z,75,50,469.62,0.14,9.25,826.0,8.93,54.0,454.63,490.55,...
7301,2018-11-01 05:53:00,55,33,43,SW,6,0,29.22,0.0,Fair,2018-11-01T05:29:48Z,75,50,458.62,0.12,9.94,847.0,10.33,56.0,440.9,494.09,...
7302,2018-11-01 06:53:00,55,34,45,VAR,3,0,29.23,0.0,Fair,2018-11-01T06:28:25Z,75,50,458.32,0.12,7.4,841.0,7.12,55.0,445.53,474.46,...
7303,2018-11-01 07:53:00,63,33,33,CALM,0,0,29.25,0.0,Fair,2018-11-01T07:38:04Z,75,50,461.83,0.1,7.33,460.0,6.98,30.0,445.11,472.39,...
7304,2018-11-01 08:53:00,70,25,18,CALM,0,0,29.26,0.0,Fair,2018-11-01T08:29:11Z,75,50,448.35,0.1,9.38,866.0,9.09,56.0,432.5,468.65,...
7305,2018-11-01 09:53:00,74,28,18,CALM,0,0,29.25,0.0,Fair,2018-11-01T09:29:11Z,75,50,447.5,0.1,9.62,868.0,9.46,56.0,437.43,471.78,...
