,Time,Temp (F),Dew Point (F),Humidity (%),Wind,Wind Speed (mph),Wind Gust (mph),Pressure (in),Precip (in),Condition,average_measurement_time,elevation_m,intake_height_m,co2_ppm,co2_uncertainty,co2_SD_raw,co2_n_raw,co2_SD_minutes,co2_n_minutes,co2_min,co2_max,co2_flags
6552,2018-10-01 00:53:00,70,57,63,W,3,0,29.05,0.0,Partly Cloudy,2018-10-01T00:29:30Z,75,50,422.14,0.05,3.3,819.0,3.32,56.0,416.68,429.47,...
6553,2018-10-01 01:53:00,69,52,54,WSW,5,0,29.04,0.0,Partly Cloudy,2018-10-01T01:29:30Z,75,50,431.24,0.07,0.75,831.0,0.72,56.0,429.64,432.73,...
6554,2018-10-01 02:53:00,69,53,57,WSW,3,0,29.03,0.0,Mostly Cloudy,2018-10-01T02:23:00Z,75,50,428.19,0.06,2.69,658.0,2.71,44.0,424.05,434.24,...
6555,2018-10-01 03:53:00,68,52,56,SSE,6,0,29.04,0.0,Mostly Cloudy,2018-10-01T03:33:30Z,75,50,436.74,0.07,1.94,589.0,1.9,39.0,432.4,439.33,...
6556,2018-10-01 04:53:00,68,52,56,CALM,0,0,29.04,0.0,Fair,2018-10-01T04:29:30Z,75,50,437.52,0.08,2.53,845.0,2.51,56.0,432.05,441.74,...
6557,2018-10-01 05:53:00,69,52,54,W,3,0,29.05,0.0,Fair,2018-10-01T05:29:30Z,75,50,437.32,0.08,2.34,848.0,2.31,56.0,433.15,441.04,...
6558,2018-10-01 06:53:00,69,52,54,CALM,0,0,29.04,0.0,Fair,2018-10-01T06:35:30Z,75,50,430.64,0.06,4.16,427.0,3.8,28.0,422.55,436.41,...
6559,2018-10-01 07:53:00,75,52,44,SW,3,0,29.04,0.0,Fair,2018-10-01T07:29:30Z,75,50,434.05,0.07,1.03,853.0,1.0,56.0,432.16,435.66,...
6560,2018-10-01 08:53:00,81,51,35,WSW,3,0,29.03,0.0,Fair,2018-10-01T08:29:30Z,75,50,433.85,0.07,1.45,792.0,1.44,52.0,431.72,436.43,...
6561,2018-10-01 09:53:00,84,53,34,VAR,3,0,29.03,0.0,Fair,2018-10-01T09:29:30Z,75,50,431.24,0.07,1.14,792.0,1.05,52.0,429.15,433.55,...
6562,2018-10-01 10:53:00,86,56,36,SE,5,0,29.01,0.0,Fair,2018-10-01T10:29:54Z,75,50,442.82,0.09,5.26,806.0,5.28,55.0,432.39,449.17,...
6563,2018-10-01 11:53:00,88,57,35,SSW,8,0,28.98,0.0,Fair,2018-10-01T11:29:12Z,75,50,454.94,0.11,4.22,795.0,4.48,55.0,437.16,462.9,...
6564,2018-10-01 12:53:00,89,58,35,VAR,5,0,28.97,0.0,Fair,2018-10-01T12:38:35Z,75,50,454.48,0.09,7.61,415.0,7.52,29.0,439.73,468.83,...
6565,2018-10-01 13:53:00,90,58,34,SSW,8,0,28.95,0.0,Fair,2018-10-01T13:29:15Z,75,50,472.22,0.15,20.67,798.0,20.71,56.0,441.2,509.38,...
6566,2018-10-01 14:53:00,88,58,36,VAR,7,0,28.95,0.0,Fair,2018-10-01T14:29:15Z,75,50,478.25,0.16,5.57,799.0,4.75,56.0,471.31,494.06,...
6567,2018-10-01 15:53:00,88,59,37,S,10,0,28.94,0.0,Fair,2018-10-01T15:29:15Z,75,50,476.82,0.16,5.8,807.0,5.68,56.0,465.55,487.46,...
6568,2018-10-01 16:53:00,85,60,43,S,7,0,28.94,0.0,Partly Cloudy,2018-10-01T16:29:30Z,75,50,455.13,0.12,9.34,816.0,9.37,56.0,440.09,475.34,...
6569,2018-10-01 17:53:00,83,61,47,S,5,0,28.95,0.0,Fair,2018-10-01T17:29:30Z,75,50,432.97,0.07,5.71,821.0,5.67,56.0,424.28,446.04,...
6570,2018-10-01 18:53:00,81,61,50,S,5,0,28.96,0.0,Fair,2018-10-01T18:29:30Z,75,50,423.62,0.06,3.87,830.0,3.54,56.0,416.95,431.76,...
6571,2018-10-01 19:53:00,80,62,54,S,3,0,28.97,0.0,Fair,2018-10-01T19:29:30Z,75,50,430.58,0.07,6.29,832.0,5.77,56.0,419.44,448.94,...
6572,2018-10-01 20:53:00,80,58,47,CALM,0,0,28.97,0.0,Fair,2018-10-01T20:24:00Z,75,50,438.7,0.08,9.74,679.0,8.88,46.0,426.23,461.23,...
6573,2018-10-01 21:53:00,77,59,54,SE,3,0,28.97,0.0,Fair,2018-10-01T21:34:00Z,75,50,460.08,0.11,4.11,563.0,3.63,38.0,452.77,469.47,...
6574,2018-10-01 22:53:00,77,60,56,ESE,5,0,28.97,0.0,Partly Cloudy,2018-10-01T22:29:30Z,75,50,439.62,0.08,8.7,838.0,8.48,56.0,426.82,456.51,...
6575,2018-10-01 23:53:00,75,60,60,ESE,7,0,28.98,0.0,Mostly Cloudy,2018-10-01T23:29:30Z,75,50,434.85,0.07,7.24,838.0,6.48,56.0,423.47,444.36,...
6576,2018-10-02 00:53:00,75,58,55,CALM,0,0,28.98,0.0,Mostly Cloudy,2018-10-02T00:35:00Z,75,50,433.35,0.07,11.94,419.0,10.52,28.0,422.07,450.6,...
6577,2018-10-02 01:53:00,75,59,57,CALM,0,0,28.97,0.0,Partly Cloudy,2018-10-02T01:29:29Z,75,50,431.88,0.07,4.88,786.0,4.81,53.0,424.54,440.82,...
6578,2018-10-02 02:53:00,74,58,57,CALM,0,0,28.97,0.0,Mostly Cloudy,2018-10-02T02:29:56Z,75,50,433.09,0.07,6.41,804.0,5.95,56.0,424.92,448.73,...
6579,2018-10-02 03:53:00,73,59,61,CALM,0,0,28.98,0.0,Mostly Cloudy,2018-10-02T03:29:56Z,75,50,438.64,0.08,5.31,808.0,5.28,56.0,425.29,450.29,...
6580,2018-10-02 04:53:00,74,58,57,SE,5,0,28.98,0.0,Mostly Cloudy,2018-10-02T04:29:56Z,75,50,430.48,0.06,4.48,817.0,3.97,56.0,423.04,443.18,...
6581,2018-10-02 05:53:00,73,59,61,ESE,5,0,28.98,0.0,Cloudy,2018-10-02T05:29:28Z,75,50,442.65,0.09,7.67,816.0,7.65,56.0,429.76,453.25,...
6582,2018-10-02 06:53:00,73,60,64,VAR,3,0,28.98,0.0,Cloudy,2018-10-02T06:39:00Z,75,50,443.87,0.08,3.82,413.0,3.33,28.0,437.77,450.53,...
6583,2018-10-02 07:53:00,74,61,64,SE,7,0,29.01,0.0,Cloudy,2018-10-02T07:29:30Z,75,50,455.11,0.12,5.4,823.0,5.15,56.0,443.85,466.63,...
6584,2018-10-02 08:53:00,74,63,68,ESE,12,0,29.02,0.0,Mostly Cloudy,2018-10-02T08:29:30Z,75,50,458.48,0.12,7.94,825.0,7.42,56.0,446.91,479.16,...
6585,2018-10-02 09:53:00,74,62,66,S,12,0,29.04,0.0,Cloudy,2018-10-02T09:29:30Z,75,50,449.32,0.1,5.7,829.0,5.3,56.0,438.1,460.38,...
6586,2018-10-02 10:53:00,76,58,54,SE,9,0,29.04,0.0,Mostly Cloudy,2018-10-02T10:29:30Z,75,50,428.46,0.06,7.66,837.0,7.65,56.0,417.01,445.5,...
6587,2018-10-02 11:53:00,76,46,35,S,8,0,29.05,0.0,Cloudy,2018-10-02T11:29:30Z,75,50,429.22,0.06,1.83,841.0,1.79,56.0,426.19,434.7,...
6588,2018-10-02 12:53:00,77,48,36,S,8,0,29.04,0.0,Mostly Cloudy,2018-10-02T12:29:30Z,75,50,437.19,0.08,1.42,848.0,1.36,56.0,433.74,439.7,...
6589,2018-10-02 13:53:00,78,49,36,S,10,0,29.03,0.0,Cloudy,2018-10-02T13:29:30Z,75,50,441.36,0.09,2.24,848.0,2.22,56.0,437.64,445.75,...
6590,2018-10-02 14:53:00,79,49,35,S,12,0,29.04,0.0,Cloudy,2018-10-02T14:24:30Z,75,50,449.39,0.1,3.53,709.0,3.14,47.0,444.5,455.69,...
6591,2018-10-02 15:53:00,76,51,42,S,12,0,29.04,0.0,Partly Cloudy,2018-10-02T15:35:00Z,75,50,462.76,0.11,5.57,543.0,5.33,36.0,453.89,477.76,...
6592,2018-10-02 16:53:00,72,52,49,SSW,9,0,29.05,0.0,Cloudy,2018-10-02T16:29:30Z,75,50,466.12,0.14,9.89,841.0,9.32,56.0,453.07,491.78,...
6593,2018-10-02 17:53:00,70,54,57,SE,8,0,29.07,0.0,Cloudy,2018-10-02T17:29:30Z,75,50,436.32,0.08,10.12,851.0,10.12,56.0,422.05,457.92,...
6594,2018-10-02 18:53:00,69,55,61,SE,8,0,29.08,0.0,Cloudy,2018-10-02T18:34:00Z,75,50,422.31,0.05,2.66,444.0,2.61,29.0,417.89,425.6,...
6595,2018-10-02 19:53:00,69,55,61,VAR,7,0,29.09,0.0,Cloudy,2018-10-02T19:29:30Z,75,50,416.45,0.05,2.27,856.0,2.04,56.0,410.97,425.52,...
6596,2018-10-02 20:53:00,68,56,65,S,6,0,29.1,0.0,Mostly Cloudy,2018-10-02T20:29:30Z,75,50,411.94,0.05,2.93,857.0,2.55,56.0,406.23,419.07,...
6597,2018-10-02 21:53:00,67,56,68,SE,5,0,29.1,0.0,Cloudy,2018-10-02T21:29:31Z,75,50,410.11,0.05,1.63,828.0,1.47,55.0,407.86,414.06,...
6598,2018-10-02 22:53:00,67,54,63,SSE,3,0,29.11,0.0,Mostly Cloudy,2018-10-02T22:29:31Z,75,50,412.31,0.05,3.07,794.0,2.78,53.0,408.43,419.53,...
6599,2018-10-02 23:53:00,67,58,73,S,3,0,29.1,0.0,Cloudy,2018-10-02T23:29:07Z,75,50,412.78,0.05,2.1,819.0,1.8,56.0,409.8,418.89,...
6600,2018-10-03 00:53:00,67,56,68,S,5,0,29.12,0.0,Cloudy,2018-10-03T00:38:19Z,75,50,413.43,0.05,1.41,404.0,1.0,28.0,410.82,415.56,...
6601,2018-10-03 01:53:00,67,57,70,CALM,0,0,29.11,0.0,Cloudy,2018-10-03T01:29:26Z,75,50,416.15,0.05,3.23,829.0,3.09,56.0,410.3,423.45,...
6602,2018-10-03 02:53:00,67,57,70,CALM,0,0,29.09,0.0,Cloudy,2018-10-03T02:29:26Z,75,50,420.63,0.05,2.02,833.0,1.85,56.0,416.71,425.4,...
6603,2018-10-03 03:53:00,66,60,81,S,3,0,29.09,0.0,Cloudy,2018-10-03T03:29:26Z,75,50,422.59,0.05,2.65,840.0,2.6,56.0,418.79,430.21,...
6604,2018-10-03 04:53:00,66,59,78,S,3,0,29.1,0.0,Cloudy,2018-10-03T04:29:06Z,75,50,418.68,0.05,4.52,841.0,4.51,56.0,411.85,430.79,...
6605,2018-10-03 05:53:00,66,62,87,SE,5,0,29.1,0.0,Cloudy,2018-10-03T05:29:30Z,75,50,416.9,0.05,1.44,845.0,1.36,56.0,413.58,419.89,...
6606,2018-10-03 06:53:00,67,62,84,SE,6,0,29.12,0.0,Cloudy,2018-10-03T06:29:30Z,75,50,416.52,0.05,1.29,849.0,1.21,56.0,414.9,419.83,...
6607,2018-10-03 07:53:00,67,62,84,SE,8,0,29.14,0.0,Cloudy,2018-10-03T07:29:30Z,75,50,417.87,0.05,1.13,851.0,1.02,56.0,415.54,420.7,...
6608,2018-10-03 08:53:00,69,60,73,SE,9,0,29.13,0.0,Cloudy,2018-10-03T08:25:30Z,75,50,415.98,0.05,1.35,746.0,1.29,49.0,414.06,419.19,...
6609,2018-10-03 09:53:00,70,59,68,SE,10,0,29.13,0.0,Cloudy,2018-10-03T09:35:30Z,75,50,419.63,0.05,1.45,540.0,1.39,35.0,417.04,421.94,...
6610,2018-10-03 10:53:00,72,57,59,SSE,8,0,29.12,0.0,Mostly Cloudy,2018-10-03T10:29:30Z,75,50,418.71,0.05,1.27,858.0,1.09,56.0,416.73,422.39,...
6611,2018-10-03 11:53:00,72,59,64,ESE,10,0,29.11,0.0,Cloudy,2018-10-03T11:29:30Z,75,50,420.46,0.05,1.27,856.0,1.1,56.0,418.14,422.86,...
6612,2018-10-03 12:53:00,73,59,61,S,7,0,29.09,0.0,Cloudy,2018-10-03T12:33:30Z,75,50,418.51,0.05,2.09,444.0,2.07,29.0,415.77,422.62,...
6613,2018-10-03 13:53:00,74,57,55,ESE,8,0,29.07,0.0,Fair,2018-10-03T13:29:30Z,75,50,420.61,0.05,3.22,853.0,3.2,56.0,415.21,428.2,...
6614,2018-10-03 14:53:00,73,59,61,SSW,9,0,29.07,0.0,Cloudy,2018-10-03T14:29:34Z,75,50,422.78,0.05,4.3,804.0,4.09,54.0,411.91,431.79,...
6615,2018-10-03 15:53:00,71,61,70,S,7,0,29.07,0.0,Cloudy,2018-10-03T15:29:22Z,75,50,420.88,0.05,3.54,814.0,3.31,55.0,413.62,426.56,...
6616,2018-10-03 16:53:00,69,61,75,SSW,7,0,29.08,0.0,Cloudy,2018-10-03T16:29:11Z,75,50,420.73,0.05,3.97,823.0,3.7,56.0,413.3,430.93,...
