,Time,Temp (F),Dew Point (F),Humidity (%),Wind,Wind Speed (mph),Wind Gust (mph),Pressure (in),Precip (in),Condition,average_measurement_time,elevation_m,intake_height_m,co2_ppm,co2_uncertainty,co2_SD_raw,co2_n_raw,co2_SD_minutes,co2_n_minutes,co2_min,co2_max,co2_flags
5833,2018-09-01 12:53:00,68,57,68,ESE,6,0,28.97,0.0,Fair,2018-09-01T01:24:00Z,75,50,419.59,0.06,1.02,683.0,0.94,46.0,417.68,422.45,...
5834,2018-09-01 01:53:00,67,59,76,E,5,0,28.96,0.0,Fair,2018-09-01T02:34:00Z,75,50,413.44,0.05,2.41,569.0,2.4,38.0,410.42,417.19,...
5835,2018-09-01 02:53:00,66,59,78,ESE,7,0,28.97,0.0,Fair,2018-09-01T03:29:30Z,75,50,413.51,0.05,1.01,835.0,0.96,56.0,410.87,415.35,...
5836,2018-09-01 03:53:00,65,60,84,SSE,3,0,28.98,0.0,Fair,2018-09-01T04:29:30Z,75,50,418.74,0.06,2.44,836.0,2.38,56.0,413.57,424.08,...
5837,2018-09-01 04:53:00,65,61,87,ESE,6,0,28.98,0.0,Fair,2018-09-01T05:35:00Z,75,50,421.7,0.06,2.39,418.0,2.39,28.0,417.63,425.89,...
5838,2018-09-01 05:53:00,64,62,93,SSE,6,0,28.99,0.0,Fair,2018-09-01T06:29:30Z,75,50,425.83,0.07,1.53,823.0,1.48,55.0,422.1,428.96,...
5839,2018-09-01 06:53:00,64,63,96,SSE,5,0,29.01,0.0,Cloudy,2018-09-01T07:29:43Z,75,50,425.35,0.07,2.64,808.0,2.57,55.0,421.57,430.56,...
5840,2018-09-01 07:53:00,66,62,87,SE,6,0,29.02,0.0,Mostly Cloudy,2018-09-01T08:29:56Z,75,50,428.81,0.08,4.13,805.0,4.15,56.0,422.23,434.06,...
5841,2018-09-01 08:53:00,69,62,78,SE,7,0,29.03,0.0,Mostly Cloudy,2018-09-01T09:29:56Z,75,50,432.65,0.08,6.32,808.0,6.28,56.0,418.38,439.26,...
5842,2018-09-01 09:53:00,71,62,73,ESE,8,0,29.03,0.0,Fair,2018-09-01T10:29:28Z,75,50,415.8,0.06,2.52,815.0,2.52,56.0,411.64,419.24,...
5843,2018-09-01 10:53:00,75,62,64,SSW,8,0,29.01,0.0,Fair,2018-09-01T11:39:06Z,75,50,408.61,0.05,0.58,410.0,0.58,28.0,407.68,410.05,...
5844,2018-09-01 11:53:00,78,62,58,VAR,3,0,28.99,0.0,Fair,2018-09-01T12:29:00Z,75,50,410.64,0.05,1.59,825.0,1.55,56.0,407.96,414.11,...
5845,2018-09-01 12:53:00,79,62,56,SSW,9,0,28.98,0.0,Fair,2018-09-01T13:29:30Z,75,50,410.68,0.05,1.55,822.0,1.39,56.0,408.13,414.07,...
5846,2018-09-01 13:53:00,81,62,52,S,10,0,28.96,0.0,Fair,2018-09-01T14:29:30Z,75,50,410.76,0.05,1.1,821.0,0.97,56.0,408.87,413.27,...
5847,2018-09-01 14:53:00,80,62,54,S,13,0,28.95,0.0,Fair,2018-09-01T15:29:30Z,75,50,412.07,0.05,1.23,819.0,1.06,56.0,410.38,414.55,...
5848,2018-09-01 15:53:00,78,62,58,S,12,0,28.94,0.0,Fair,2018-09-01T16:29:30Z,75,50,410.41,0.05,1.13,821.0,1.11,56.0,408.54,412.87,...
5849,2018-09-01 16:53:00,75,63,66,S,12,0,28.95,0.0,Partly Cloudy,2018-09-01T17:29:30Z,75,50,411.11,0.05,1.59,823.0,1.59,56.0,408.82,415.94,...
5850,2018-09-01 17:53:00,73,64,73,S,10,0,28.96,0.0,Fair,2018-09-01T18:29:30Z,75,50,412.48,0.05,2.48,825.0,2.11,56.0,410.42,422.47,...
5851,2018-09-01 18:53:00,70,64,81,S,8,0,28.96,0.0,Fair,2018-09-01T19:24:30Z,75,50,412.53,0.05,4.93,694.0,4.48,47.0,408.33,430.92,...
5852,2018-09-01 19:53:00,69,65,87,S,6,0,28.98,0.0,Fair,2018-09-01T20:35:00Z,75,50,409.66,0.05,3.66,533.0,3.15,36.0,406.7,421.22,...
5853,2018-09-01 20:53:00,68,65,90,S,5,0,28.99,0.0,Partly Cloudy,2018-09-01T21:29:30Z,75,50,407.19,0.05,3.12,831.0,2.86,56.0,406.04,425.99,...
5854,2018-09-01 21:53:00,68,65,90,SSE,6,0,28.99,0.0,Cloudy,2018-09-01T22:29:30Z,75,50,409.83,0.05,5.11,832.0,4.53,56.0,406.07,424.95,...
5855,2018-09-01 22:53:00,67,65,93,S,5,0,28.98,0.0,Cloudy,2018-09-01T23:34:00Z,75,50,411.19,0.05,5.23,431.0,4.3,29.0,406.81,422.04,...
5856,2018-09-01 23:53:00,67,65,93,SSE,8,0,28.98,0.0,Cloudy,2018-09-02T00:29:30Z,75,50,410.14,0.05,4.33,831.0,4.05,56.0,407.51,426.23,...
5857,2018-09-02 12:53:00,67,64,90,VAR,5,0,28.98,0.0,Cloudy,2018-09-02T01:29:46Z,75,50,411.61,0.05,6.52,790.0,6.07,54.0,408.18,436.45,...
5858,2018-09-02 01:53:00,67,64,90,SSE,6,0,28.99,0.0,Cloudy,2018-09-02T02:29:31Z,75,50,411.1,0.05,1.53,776.0,1.25,53.0,408.67,413.82,...
5859,2018-09-02 02:53:00,66,63,90,SSE,5,0,28.99,0.0,Cloudy,2018-09-02T03:29:07Z,75,50,410.82,0.05,1.0,799.0,0.97,56.0,408.5,412.23,...
5860,2018-09-02 03:53:00,66,63,90,SSE,6,0,29.0,0.0,Cloudy,2018-09-02T04:29:07Z,75,50,410.05,0.05,0.62,800.0,0.57,56.0,408.97,411.57,...
5861,2018-09-02 04:53:00,66,64,93,SSE,8,0,29.02,0.0,Cloudy,2018-09-02T05:38:19Z,75,50,409.3,0.05,0.52,393.0,0.51,28.0,408.65,410.28,...
5862,2018-09-02 05:53:00,66,63,90,SSE,3,0,29.03,0.0,Cloudy,2018-09-02T06:29:26Z,75,50,409.92,0.05,0.56,808.0,0.55,56.0,408.94,411.01,...
5863,2018-09-02 06:53:00,66,63,90,SSE,5,0,29.05,0.0,Cloudy,2018-09-02T07:29:05Z,75,50,409.43,0.05,1.11,814.0,1.07,56.0,407.82,411.73,...
5864,2018-09-02 07:53:00,67,63,87,VAR,3,0,29.05,0.0,Cloudy,2018-09-02T08:29:30Z,75,50,409.31,0.05,0.58,817.0,0.56,56.0,408.53,410.62,...
5865,2018-09-02 08:53:00,68,62,81,VAR,5,0,29.06,0.0,Cloudy,2018-09-02T09:29:30Z,75,50,409.02,0.05,0.45,817.0,0.43,56.0,407.95,409.73,...
5866,2018-09-02 09:53:00,70,61,73,SSE,5,0,29.05,0.0,Cloudy,2018-09-02T10:29:30Z,75,50,407.82,0.05,0.41,817.0,0.39,56.0,407.2,409.14,...
5867,2018-09-02 10:53:00,74,61,64,S,7,0,29.05,0.0,Partly Cloudy,2018-09-02T11:29:30Z,75,50,407.07,0.05,0.87,823.0,0.86,56.0,405.58,408.65,...
5868,2018-09-02 11:53:00,75,62,64,SSW,12,0,29.05,0.0,Fair,2018-09-02T12:29:30Z,75,50,406.76,0.05,0.49,824.0,0.43,56.0,406.12,407.91,...
5869,2018-09-02 12:53:00,75,62,64,S,10,0,29.04,0.0,Fair,2018-09-02T13:25:30Z,75,50,408.34,0.05,0.68,724.0,0.64,49.0,406.98,409.41,...
5870,2018-09-02 13:53:00,77,62,60,VAR,6,0,29.01,0.0,Fair,2018-09-02T14:35:30Z,75,50,409.47,0.05,0.56,516.0,0.52,35.0,408.69,410.32,...
5871,2018-09-02 14:53:00,79,63,58,VAR,5,0,28.99,0.0,Fair,2018-09-02T15:29:30Z,75,50,409.6,0.05,0.83,826.0,0.72,56.0,408.95,413.33,...
5872,2018-09-02 15:53:00,79,64,60,S,10,0,28.99,0.0,Fair,2018-09-02T16:29:30Z,75,50,413.05,0.05,4.08,824.0,3.76,56.0,409.42,424.53,...
5873,2018-09-02 16:53:00,77,63,62,S,9,0,28.99,0.0,Fair,2018-09-02T17:33:30Z,75,50,412.15,0.05,0.92,412.0,0.77,28.0,411.21,414.51,...
5874,2018-09-02 17:53:00,73,63,71,SSE,12,0,29.0,0.0,Fair,2018-09-02T18:29:30Z,75,50,411.24,0.05,0.8,767.0,0.77,52.0,409.87,413.53,...
5875,2018-09-02 18:53:00,69,63,81,S,10,0,29.03,0.0,Fair,2018-09-02T19:29:22Z,75,50,414.56,0.05,5.81,784.0,4.58,55.0,409.55,429.35,...
5876,2018-09-02 19:53:00,68,64,87,S,7,0,29.05,0.0,Fair,2018-09-02T20:29:11Z,75,50,412.52,0.05,4.13,789.0,3.23,56.0,408.83,428.1,...
5877,2018-09-02 20:53:00,67,64,90,S,5,0,29.07,0.0,Cloudy,2018-09-02T21:29:11Z,75,50,409.41,0.05,2.59,791.0,2.21,56.0,408.06,419.05,...
5878,2018-09-02 21:53:00,68,64,87,SSW,5,0,29.08,0.0,Cloudy,2018-09-02T22:29:11Z,75,50,409.55,0.05,4.08,796.0,3.55,56.0,406.39,424.62,...
5879,2018-09-02 22:53:00,68,63,84,SSW,3,0,29.08,0.0,Cloudy,2018-09-02T23:37:55Z,75,50,408.01,0.05,2.69,394.0,2.62,28.0,406.2,417.43,...
5880,2018-09-02 23:53:00,68,63,84,S,5,0,29.07,0.0,Cloudy,2018-09-03T00:29:00Z,75,50,407.37,0.05,2.01,803.0,1.83,56.0,406.24,416.74,...
5881,2018-09-03 12:53:00,68,63,84,CALM,0,0,29.06,0.0,Cloudy,2018-09-03T01:29:30Z,75,50,408.92,0.05,2.73,807.0,2.71,56.0,406.54,424.63,...
5882,2018-09-03 01:53:00,68,63,84,S,5,0,29.05,0.0,Cloudy,2018-09-03T02:29:30Z,75,50,409.3,0.05,0.76,808.0,0.7,56.0,407.93,411.82,...
5883,2018-09-03 02:53:00,67,63,87,SSW,5,0,29.05,0.0,Cloudy,2018-09-03T03:29:30Z,75,50,409.25,0.05,0.75,814.0,0.68,56.0,407.64,410.39,...
5884,2018-09-03 03:53:00,67,63,87,S,6,0,29.06,0.0,Cloudy,2018-09-03T04:29:30Z,75,50,407.47,0.05,1.04,823.0,1.0,56.0,405.74,410.56,...
5885,2018-09-03 04:53:00,66,64,93,S,7,0,29.06,0.0,Cloudy,2018-09-03T05:29:30Z,75,50,407.73,0.05,0.82,825.0,0.77,56.0,406.48,410.15,...
5886,2018-09-03 05:53:00,66,64,93,SSW,3,0,29.08,0.0,Cloudy,2018-09-03T06:29:30Z,75,50,408.76,0.05,2.29,830.0,2.1,56.0,406.93,419.27,...
5887,2018-09-03 06:53:00,67,63,87,S,5,0,29.08,0.0,Cloudy,2018-09-03T07:26:00Z,75,50,407.77,0.05,0.6,745.0,0.57,50.0,406.58,409.12,...
5888,2018-09-03 07:53:00,68,63,84,SE,3,0,29.08,0.0,Cloudy,2018-09-03T08:36:30Z,75,50,410.05,0.05,3.67,491.0,3.1,33.0,407.15,418.98,...
5889,2018-09-03 08:53:00,69,63,81,VAR,5,0,29.08,0.0,Cloudy,2018-09-03T09:29:30Z,75,50,408.18,0.05,2.79,833.0,2.28,56.0,406.67,418.72,...
5890,2018-09-03 09:53:00,71,63,75,CALM,0,0,29.08,0.0,Partly Cloudy,2018-09-03T10:29:30Z,75,50,408.02,0.05,3.16,834.0,2.82,56.0,405.97,423.69,...
5891,2018-09-03 10:53:00,75,63,66,CALM,0,0,29.06,0.0,Fair,2018-09-03T11:32:30Z,75,50,407.52,0.05,1.9,431.0,1.62,29.0,406.53,414.67,...
5892,2018-09-03 11:53:00,78,63,60,SE,6,0,29.04,0.0,Fair,2018-09-03T12:29:30Z,75,50,408.6,0.05,4.25,831.0,3.34,56.0,406.18,422.02,...
5893,2018-09-03 12:53:00,80,64,58,VAR,3,0,29.03,0.0,Fair,2018-09-03T13:29:30Z,75,50,406.69,0.05,1.74,831.0,1.47,56.0,405.65,413.66,...
5894,2018-09-03 13:53:00,80,64,58,SSE,9,0,29.0,0.0,Fair,2018-09-03T14:29:30Z,75,50,407.63,0.05,0.52,828.0,0.49,56.0,406.35,408.3,...
5895,2018-09-03 14:53:00,79,64,60,S,12,0,28.99,0.0,Fair,2018-09-03T15:29:30Z,75,50,408.45,0.05,0.18,782.0,0.17,53.0,407.96,408.76,...
5896,2018-09-03 15:53:00,77,64,64,S,13,0,28.99,0.0,Fair,2018-09-03T16:29:53Z,75,50,409.95,0.05,2.41,776.0,2.11,54.0,408.22,420.91,...
5897,2018-09-03 16:53:00,74,63,68,S,12,0,28.99,0.0,Fair,2018-09-03T17:37:55Z,75,50,411.57,0.05,0.57,379.0,0.5,27.0,410.73,413.18,...
5898,2018-09-03 17:53:00,71,63,75,S,13,0,29.01,0.0,Fair,2018-09-03T18:29:37Z,75,50,413.29,0.05,3.42,789.0,2.66,56.0,410.57,421.96,...
5899,2018-09-03 18:53:00,68,64,87,SSE,9,0,29.03,0.0,Fair,2018-09-03T19:29:37Z,75,50,413.03,0.05,3.25,794.0,2.96,56.0,410.93,424.91,...
5900,2018-09-03 19:53:00,67,64,90,S,7,0,29.06,0.0,Partly Cloudy,2018-09-03T20:29:37Z,75,50,415.06,0.05,3.21,796.0,2.8,56.0,412.54,424.67,...
5901,2018-09-03 20:53:00,67,64,90,S,7,0,29.06,0.0,Cloudy,2018-09-03T21:29:30Z,75,50,414.81,0.05,2.04,801.0,1.86,56.0,413.22,424.23,...
5902,2018-09-03 21:53:00,67,64,90,S,8,0,29.07,0.0,Cloudy,2018-09-03T22:29:30Z,75,50,414.23,0.05,1.96,806.0,1.83,56.0,412.38,420.69,...
5903,2018-09-03 22:53:00,67,64,90,SSW,5,0,29.06,0.0,Cloudy,2018-09-03T23:29:30Z,75,50,414.1,0.05,1.62,809.0,1.43,56.0,412.05,418.71,...
5904,2018-09-03 23:53:00,67,64,90,VAR,3,0,29.06,0.0,Cloudy,2018-09-04T00:29:30Z,75,50,409.88,0.05,0.91,812.0,0.91,56.0,408.88,411.97,...
5905,2018-09-04 12:53:00,67,64,90,SW,3,0,29.05,0.0,Cloudy,2018-09-04T01:27:00Z,75,50,412.15,0.05,1.86,755.0,1.85,52.0,409.74,415.23,...
5906,2018-09-04 01:53:00,67,64,90,W,6,0,29.04,0.0,Cloudy,2018-09-04T02:37:00Z,75,50,409.89,0.05,0.56,486.0,0.35,33.0,409.23,410.66,...
5907,2018-09-04 02:53:00,68,64,87,CALM,0,0,29.02,0.0,Cloudy,2018-09-04T03:29:30Z,75,50,410.46,0.05,1.08,826.0,0.95,56.0,409.02,415.73,...
5908,2018-09-04 03:53:00,68,64,87,CALM,0,0,29.02,0.0,Cloudy,2018-09-04T04:29:30Z,75,50,412.34,0.05,1.25,825.0,1.24,56.0,410.12,414.58,...
5909,2018-09-04 04:53:00,68,64,87,CALM,0,0,29.03,0.0,Cloudy,2018-09-04T05:32:00Z,75,50,414.25,0.05,0.51,412.0,0.49,28.0,413.43,415.19,...
5910,2018-09-04 05:53:00,68,63,84,CALM,0,0,29.04,0.0,Mostly Cloudy,2018-09-04T06:29:30Z,75,50,414.86,0.05,0.86,830.0,0.8,56.0,413.93,418.23,...
5911,2018-09-04 06:53:00,69,64,84,CALM,0,0,29.06,0.0,Partly Cloudy,2018-09-04T07:29:30Z,75,50,416.13,0.06,0.64,813.0,0.64,55.0,415.2,417.38,...
5912,2018-09-04 07:53:00,70,64,81,CALM,0,0,29.07,0.0,Partly Cloudy,2018-09-04T08:29:35Z,75,50,417.64,0.06,0.41,775.0,0.41,53.0,417.04,418.58,...
5913,2018-09-04 08:53:00,73,64,73,SE,7,0,29.08,0.0,Fair,2018-09-04T09:29:45Z,75,50,416.83,0.06,0.56,788.0,0.5,55.0,416.24,419.3,...
5914,2018-09-04 09:53:00,74,64,71,S,8,0,29.08,0.0,Fair,2018-09-04T10:29:22Z,75,50,418.04,0.06,0.59,795.0,0.58,56.0,416.85,419.49,...
5915,2018-09-04 10:53:00,76,64,67,VAR,5,0,29.06,0.0,Fair,2018-09-04T11:36:44Z,75,50,420.11,0.06,1.03,391.0,0.98,28.0,418.46,421.56,...
5916,2018-09-04 11:53:00,78,65,64,S,8,0,29.04,0.0,Fair,2018-09-04T12:29:17Z,75,50,422.26,0.07,0.77,797.0,0.74,56.0,420.7,423.72,...
5917,2018-09-04 12:53:00,78,65,64,S,9,0,29.03,0.0,Fair,2018-09-04T13:29:30Z,75,50,424.37,0.07,1.22,798.0,1.19,56.0,422.67,427.05,...
5918,2018-09-04 13:53:00,79,64,60,SSW,14,0,29.01,0.0,Fair,2018-09-04T14:29:30Z,75,50,430.01,0.08,5.35,795.0,5.26,56.0,425.29,445.35,...
5919,2018-09-04 14:53:00,77,64,64,S,12,0,28.99,0.0,Fair,2018-09-04T15:29:30Z,75,50,431.2,0.08,6.01,797.0,5.13,56.0,426.18,448.45,...
5920,2018-09-04 15:53:00,74,64,71,S,12,0,29.0,0.0,Fair,2018-09-04T16:29:30Z,75,50,430.47,0.08,2.42,799.0,2.32,56.0,426.01,440.73,...
5921,2018-09-04 16:53:00,71,63,75,S,12,0,29.0,0.0,Fair,2018-09-04T17:29:30Z,75,50,434.46,0.09,3.83,806.0,3.38,56.0,430.76,450.49,...
5922,2018-09-04 17:53:00,69,62,78,S,10,0,29.02,0.0,Fair,2018-09-04T18:29:30Z,75,50,432.43,0.08,3.86,808.0,2.92,56.0,429.21,449.64,...
5923,2018-09-04 18:53:00,65,62,90,S,8,0,29.04,0.0,Fair,2018-09-04T19:27:30Z,75,50,432.46,0.09,4.83,764.0,4.22,53.0,425.42,441.24,...
5924,2018-09-04 19:53:00,65,63,93,SSE,8,0,29.07,0.0,Mostly Cloudy,2018-09-04T20:38:00Z,75,50,421.11,0.06,3.05,451.0,2.82,31.0,417.15,426.42,...
5925,2018-09-04 20:53:00,65,63,93,SSE,7,0,29.09,0.0,Cloudy,2018-09-04T21:29:30Z,75,50,417.93,0.06,3.14,815.0,2.85,56.0,413.92,427.73,...
5926,2018-09-04 21:53:00,65,62,90,S,6,0,29.1,0.0,Cloudy,2018-09-04T22:29:30Z,75,50,419.73,0.06,5.13,816.0,4.83,56.0,413.2,436.76,...
5927,2018-09-04 22:53:00,65,62,90,SSW,3,0,29.1,0.0,Cloudy,2018-09-04T23:31:00Z,75,50,422.84,0.06,5.56,408.0,3.99,28.0,417.49,435.17,...
5928,2018-09-04 23:53:00,65,62,90,CALM,0,0,29.09,0.0,Cloudy,2018-09-05T00:29:30Z,75,50,424.99,0.07,7.87,815.0,7.13,56.0,417.39,444.69,...
5929,2018-09-05 12:53:00,65,63,93,VAR,3,0,29.09,0.0,Cloudy,2018-09-05T01:29:30Z,75,50,426.25,0.07,8.2,814.0,7.45,56.0,416.22,444.0,...
